raw_name,normalized_form
CARRIES_ON,carries on
CARROT_IS_COVERED_WITH,carrot is covered with
CARROT_IS_SEALED_WITH,carrot is sealed with
CARROT_IS_SOWN_IN,carrot is sown in
CARROT_IS_SOWN_ON,carrot is sown on
CATEGORY_OF,category
IS_CAUSE_OF_DAMAGE,cause damage
CAUSED_BY,caused by
CAUSES,causes
CAUSES_CONDITION,causes condition
CHARACTERISTIC_OF,characteristic
IS_CHARACTERIZED_BY,characterized by
CHARACTERIZED_BY_STEM_AND_CAP,characterized by stem and cap
CHECKED_FOR,checked for
CLASSIFIED_UNDER,classified under
CLEANED_WITH,cleaned with
CLOSED_WITH_FRAMES,closed with frames
COIFFES_IN_MONTH,coiffes in month
COLLAR_SUNK_INTO_GROUND,collar sunk into ground
IS_COLLECTED_INTO,collected into
COLOCATED_WITHIN,colocated within
COLORED_LEAVES,colored leaves
COMMON_NAME_OF_CROP,common name crop
COMMONLY_GROWN_DURING,commonly grown during
COMPANION_PLANT_FOR,companion plant for
 COMPARED_TO,compared to
IS_COMPARED_TO,compared to
COMPARED_WITH_METHODS,compared with methods
COMPETES_WITH,competes with
COMPETING_VARIETY_OF,competing variety
COMPLETELY_MILLED_TO_BLEACH,completely milled to bleach
IS_COMPOSED_OF,composed
COMPRISED_OF,comprised
CONDITIONALLY_REQUIRES,conditionally requires
CONNECTED_TO,connected to
CONNECTS_TO_FRAME,connects to frame
CONSEQUENCE_OF,consequence
CONSISTS_OF,consists
CONSISTS_OF_SOIL_AND_MANURE,consists soil and manure
CONSUMED_IN,consumed in
CONTAIN,contain
CONTAINING,containing
CONTAINS,contains
CONTAINS_IN_AVERAGE,contains in average
CONTAINS_MATERIALS,contains materials
CONTAINS_MEASUREMENT,contains measurement
CONTAINS_PART_OF,contains part
CONTAINS_SEEDS,contains seeds
CONTAINS_SOIL_TYPE,contains soil type
CONTAINS_SPAWN,contains spawn
CONTAINS_SPECIES,contains species
CONTAINS_SUBSTANCE_AS_SEED,contains substance as seed
CONTAINS_VARIETIES,contains varieties
CONTINUE_TO_BE_TRANSPLANTED,continue to be transplanted
CONTINUES_TO_BE_HEATED,continues to be heated
CONTRIBUTED_TO,contributed to
CONVERTED_TO,converted to
COOLING_LOCATION,cooling location
COOPER_CINNAMON_USED_IN_LEAD_PIPE_END,cooper cinnamon used in lead pipe end
COSTS,costs
COSTS_ASSOCIATED_WITH_EQUIPMENT,costs associated with equipment
COUNTER_PLANTED_WITH,counter planted with
COVERED_BY,covered by
COVERED_FOR,covered for
COVERED_FROM,covered from
COVERED_IN,covered in
COVERED_WITH,covered with
IS_COVERED_WITH,covered with
COVERED_WITH_AT_NIGHT,covered with at night
COVERED_WITH_FRAMES,covered with frames
COVERED_WITH_LITTER_OR_MAT_DURING_DAY,covered with litter or mat during day
COVERED_WITH_MANURE,covered with manure
COVERED_WITH_SOIL,covered with soil
COVERED_WITH_STRAW_MATS,covered with straw mats
COVERS_SOIL_FOR,covers soil for
COVERS_WITH,covers with
CREATED_EDGE_ON_NORTH_SIDE,created edge on north side
CROP_ASSOCIATED_WITH_EQUIPMENT,crop associated with equipment
CROP_ASSOCIATION,crop association
CROP_AVAILABILITY_SEASON,crop availability season
CROP_CHARACTERISTIC,crop characteristic
CROP_GRAFTING,crop grafting
CROP_GROWN,crop grown
CROP_GROWN_AT,crop grown at
CROP_GROWN_FOR,crop grown for
CROP_GROWN_FROM,crop grown from
CROP_GROWTH_STAGE_TRANSITION,crop growth stage transition
CROP_PLANTED,crop planted
CROP_PREFERENCE_LOCATION,crop preference location
CROP_TYPE,crop type
CROP_VARIEGES,crop varieges
CROP_VARIEGY,crop variegy
CROP_VARIEIES,crop varieies
CROP_VARIETY,crop variety
CROP_VARIETY_RELATED_TO_CROP,crop variety related to crop
CROP_VARIEYT,crop varieyt
CROP_VARIEYT_RELATIONSHIP,crop varieyt relationship
CULTIVATED,cultivated
CULTIVATED_AFTER,cultivated after
CULTIVATED_AS,cultivated as
CULTIVATED_AT,cultivated at
CULTIVATED_BY,cultivated by
CULTIVATED_DURING,cultivated during
CULTIVATED_FOR,cultivated for
CULTIVATED_FROM,cultivated from
CULTIVATED_GENUS_CONTAINS_SPECIES,cultivated genus contains species
CULTIVATED_IN,cultivated in
CULTIVATED_IN_ROWS,cultivated in rows
CULTIVATED_ON,cultivated on
CULTIVATED_TOGETHER,cultivated together
CULTIVATED_UNDER_SPECIFIC_CONDITIONS,cultivated under specific conditions
CULTIVATED_UNTIL,cultivated until
CULTIVATED_USING,cultivated using
CULTIVATED_USING_FORCED_CULTIVATION_METHOD,cultivated using forced cultivation method
CULTIVATED_VARIETY,cultivated variety
CULTIVATED_WITH,cultivated with
CULTIVATED_WITH_TOOL,cultivated with tool
CUT_AT,cut at
CUT_BACK_REGULARLY,cut back regularly
CUT_BY,cut by
CUT_DURING,cut during
ARE_CUT_FLUSH_WITH_THE_GROUND_IF THEY_ARE_DRY,cut flush with ground if they are dry
CUT_IN_YEAR,cut in year
CUT_WITH,cut with
Damaged_BY,damaged by
DEEPENED,deepened
DEGENERATES_EASILY,degenerates easily
DEPANELLED_AT,depanelled at
DEPICTED_BY,depicted by
DEPICTS,depicts
DERIVED_FROM,derived from
DESTROYED_BY,destroyed by
DESTROYED_IF_NOT_SPARRED_FOR_SEED,destroyed if not sparred for seed
DESTRUCTIVE_IMPACT_ON_PLANTS,destructive impact on plants
DEVELOPED_BY,developed by
DEVELOPS_INTO,develops into
DIFFERENT_CULTURE_THAN,different culture than
IS_DIFFERENT_FROM,different from
DIFFERENT_PLANTING_METHOD,different planting method
DIFFERENT_SOIL_CONDITION,different soil condition
DIFFERS_FROM,differs from
DIFFERS_FROM_PARENT_PLANT,differs from parent plant
DIFFERS_IN,differs in
DIFFERS_IN_ACCESSIBILITY,differs in accessibility
DIFFERS_IN_FLESH_COLOR_FROM,differs in flesh color from
DIFFERS_IN_GROWTH_FROM,differs in growth from
DIFFERS_IN_QUALITY_FROM,differs in quality from
DIFFERS_IN_RUNNIG_FROM,differs in runnig from
DIFFERS_IN_SHAPE_FROM,differs in shape from
DIFFERS_IN_SIZE_AND_LATER_BY,differs in size and later by
IS_DIFFICULT_TO_DETERMINE_FOR,difficult to determine for
DISEASE_AFFECTED_BY,disease affected by
DISEASE_AFFECTS_CROP,disease affects crop
IS DIVIDED_BY,divided by
DIVIDED_INTO,divided into
DOCUMENTED_AT,documented at
DOES_NOT_NEED_TRANSPLANTING_DUE_TO_SOIL_CONDITION,does not need transplanting due to soil condition
DOES_NOT_RESULT_IN,does not result in
EARLY_PLANTED_BY,early planted by
IS_EASIER_TO_WORK_WITH_THAN,easier to work with than
EATEN_BY,eaten by
EDGE_WITH,edge with
EFFECTED_BY,effected by
EFFECTED_BY_STRUCTURES,effected by structures
EMPLOYED_IN_MARKET_GARDENING,employed in market gardening
EMPLOYS,employs
ENCOURAGED_TO_CONTRIBUTE,encouraged to contribute
ENCROACHES_WITH,encroaches with
ENHANCES_PRODUCTIVITY,enhances productivity
EQUIPMENT_COMPONENT_OF,equipment component
EQUIPMENT_DEVELOPED_TO_HELP_FARMS_USE_EQUIPMENT_BETTER,equipment developed to help farms use equipment better
EQUIPMENT_USED_BY,equipment used by
EQUIPMENT_USED_FOR_PREPARATION,equipment used for preparation
EQUIPPED_WITH,equipped with
IS_EQUIPPED_WITH,equipped with
MAY_BE_EQUIVALENT_TO,equivalent to
ESTABLISHED_IN,established in
EXCELLENT_QUALITY,excellent quality
EXERTS_EFFECT_ON,exerts effect on
EXHIBITS_CHARACTERISTIC,exhibits characteristic
EXPECTED_AT,expected at
EXPERIMENTED_BY,experimented by
EXPOSED_TO,exposed to
EXPOSED_TO_AIR_AROUND,exposed to air around
EXPOSED_TO_AIR_BY_MEANS_OF,exposed to air by means
EXPOSED_TO_LIGHT_THROUGH,exposed to light through
EXPOSED_TO_NATURAL_ELEMENT_FOR_AIRING,exposed to natural element for airing
EXPOSED_TO_WIND,exposed to wind
EXPOSURE_INFLUENCE_ON_GROWTH,exposure influence on growth
EXTENDS_INTO_PATHS,extends into paths
EXTRACTED_FROM_ECONOMICS_DATA,extracted from economics data
FAMILY_CLASSIFICATION,family classification
FARMING_PRACTICE,farming practice
FARMING_PRACTICE_RELATED,farming practice related
FED_BY,fed by
FERTILIZED_WITH,fertilized with
FIELD_PREPARATION_PRACTICE,field preparation practice
FILLED_WITH,filled with
FILLED_WITH_SOIL,filled with soil
IS FITTED_WITH,fitted with
FIX,fix
FLOWERS_IN,flowers in
FOLLOW_EXAMPLE_OF,follow example
FOLLOWED_BY,followed by
FOLLOWED_BY_CROP,followed by crop
FOLLOWS_AFTER,follows after
FOLLOWS_IN_DEVELOPMENT,follows in development
FOLLOWS_LAYERS,follows layers
CAN_BE_FORCED_IN_NOVEMBER_WITH_16_CM_COMPOST_LAYER_AND_CLOVER,forced in november with 16 cm compost layer and clover
FORMS_INTO,forms into
FOUND_IN,found in
FOUNDED_PRIZE,founded prize
FRAME_CONTAINS_PLANT,frame contains plant
FRAMES_AREUSED_WITH_PEAS,frames areused with peas
FREE_FROM,free from
FREEZE_IMPACT,freeze impact
FRUITS_AFFECTED_BY,fruits affected by
GAVE_BACK,gave back
GENERATED_FROM,generated from
GERMINATED_IN,germinated in
GERMINATES_FOR,germinates for
GERMINATES_WITHIN,germinates within
GERMINATION_TIMEFRAME,germination timeframe
GEUREA_FAMILY_CONTAINS,geurea family contains
GIVEN_AIR_GRADUALLY,given air gradually
GIVEN_AIR_USING,given air using
GIVEN_AIR_WHEN_POSSIBLE,given air when possible
GOES_TO_SEED,goes to seed
IS_GOOD_FOR,good for
GOPTED_WITH,gopted with
GREENER_THAN,greener than
GREW_STRONG_ENOUGH_TO_BE_TRANSPLANTED_IN,grew strong enough to be transplanted in
GROUPED_WITH,grouped with
GROWN_AFTER,grown after
CAN_BE_GROWN_AGAIN_IN,grown again in
GROWN_AROUND,grown around
GROWN_AS,grown as
GROWN_AT,grown at
GROWN_BY,grown by
IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,grown by market gardeners in location
GROWN_FOR,grown for
IS_GROWN_FOR_FORCED_CULTIVATION,grown for forced cultivation
GROWN_FROM,grown from
GROWN_IN,grown in
IS_GROWN_IN,grown in
GROWN_IN_CLOSE_PROXIMITY_TO,grown in close proximity to
GROWN_IN_CONDITION,grown in condition
GROWN_IN_FRAMES,grown in frames
GROWN_IN_MANURE_FILLED_PITS,grown in manure filled pits
GROWN_IN_MONTHS_OF_THE_YEAR,grown in months year
GROWN_IN_PREFERENCE_TO,grown in preference to
GROWN_IN.SEASON,grown in season
GROWN_IN_SEASON,grown in season
GROWN_IN_SPECIFIC_REGIONS_OR_SETTINGS,grown in specific regions or settings
GROWN_IN.STAGE,grown in stage
GROWN_NEAR,grown near
GROWN_ON,grown on
GROWN_ON_COASTAL_REGIONS,grown on coastal regions
GROWN_SIMILARLY_TO,grown similarly to
GROWN_TO_LENGTH,grown to length
GROWN_UNDER,grown under
GROWN_UNDER_STRUCTURE,grown under structure
GROWN_WITH,grown with
GROWS_AFTER,grows after
GROWS_AT_DIFFERENT_RATES_THAN,grows at different rates than
GROWS_AT_HEIGHT,grows at height
GROWS_AT_HEIGHT_OF,grows at height
GROWS_DURING,grows during
GROWS_FAST,grows fast
GROWS_FROM,grows from
GROWS_IN,grows in
GROWS_IN_CONDITIONS_OF,grows in conditions
GROWS_IN_SEASON,grows in season
GROWS_IN_WIDTH,grows in width
GROWS_INTO_FRUIT,grows into fruit
GROWS_ON,grows on
GROWS_PRODUCE,grows produce
GROWS_TO,grows to
GROWS_TO_HEIGHT,grows to height
GROWS_TO_HEIGHT_OF,grows to height
GROWS_UNDER,grows under
GROWTH_CONDITION_REQUIRES,growth condition requires
GROWTH_RATE_COMPARISON,growth rate comparison
GROWTH_RESTRICTED_IN,growth restricted in
GROWTH_STAGE,growth stage
GROWTH_STAGE_OF,growth stage
GROWTH_STAGE_IS_REACHED_ON,growth stage is reached on
GROWTH_STAGE_OCCURS_AFTER,growth stage occurs after
GROWTH_STAGE_RELATED_TO_GROWTH_STAGE,growth stage related to growth stage
GROWTH_STAGE_TRANSITION,growth stage transition
GROWTH_STAGE_TRANSITION_ON,growth stage transition on
HAD_COMPETITION_OPEN,had competition open
HAIR_FAVORABLE_FOR_GROWTH_IN,hair favorable for growth in
HAND_PLANTED,hand planted
HANDLED_BY_SPECIFIC_GROUP_OF_PEOPLE,handled by specific group people
HAPPENS_BEFORE,happens before
HARROWED_WITH,harrowed with
HARVEST_DATE,harvest date
HARVEST_SEASON,harvest season
HARVESTABLE_IN_AUTUMN,harvestable in autumn
HARVESTED,harvested
HARVESTED_AFTER,harvested after
HARVESTED_AT,harvested at
HARVESTED_AT_BEGINNING_OF_FEBRUARY,harvested at beginning february
HARVESTED_AT_SPECIFIC_TIME,harvested at specific time
IS_HARVESTED_BY,harvested by
HARVESTED_DURING,harvested during
HARVESTED_FOR,harvested for
HARVESTED_FROM,harvested from
HARVESTED_IN,harvested in
IS_HARVESTED_IN,harvested in
HARVESTED_IN_MONTH,harvested in month
HARVESTED_IN_OCTOBER,harvested in october
HARVESTED_IN_SEASON,harvested in season
CAN_BE_HARVESTED_IN_SUMMER,harvested in summer
HARVESTED_ON,harvested on
HARVESTED_ON_DATE,harvested on date
HARVESTED_ON_END_DATE,harvested on end date
HARVESTS_EVERY,harvests every
HAS_CHARACTERISTIC,has characteristic
HAS_CHARACTERISTICS,has characteristics
HAS_COMPONENT,has component
HAS_COMPONENTS,has components
-has_condition-relationship,has condition relationship
HAS_COST,has cost
HAS_COSTLY_FEEDING_PRACTICE,has costly feeding practice
HAS_CROP,has crop
HAS_CROP_RELATIONSHIP_WITH,has crop relationship with
HAS_CROSSBEAM_CONNECTING_TIMBERS,has crossbeam connecting timbers
HAS_DIFFERENT_CHARACTERISTICS_THAN,has different characteristics than
HAS_FRAME,has frame
HAS_FRUIT_LENGTH,has fruit length
HAS_FRUITING_STAGE,has fruiting stage
HAS_GROWTH_PATTERN,has growth pattern
HAS_GROWTH_STAGE,has growth stage
HAS_GROWTH_STAGE_RELATIONSHIP_WITH,has growth stage relationship with
HAS_HARVESTING_SCHEDULE,has harvesting schedule
HAS_LEAF_CHARACTERISTICS,has leaf characteristics
HAS_LEAVES,has leaves
HAS_PART,has part
-has_part-relationship,has part relationship
HAS_PARTS,has parts
HAS_PATTERN,has pattern
HAS_PEST_RELATIONSHIP_WITH,has pest relationship with
HAS_PLANTING_DATE,has planting date
HAS_PRACTICE,has practice
HAS_PRUNING_PRACTICE,has pruning practice
HAS_PRUNING_STAGE,has pruning stage
HAS_PULLEY,has pulley
HAS_RELATIONSHIP_WITH,has relationship with
HAS_RELATIONSHIP_WITH_SOIL_HUMIDITY,has relationship with soil humidity
HAS_REPUTATION_AS,has reputation as
 HAS_ROOT,has root
HAS_ROOT,has root
HAS_SAME_GROWTH_PATTERN,has same growth pattern
HAS_SEASONAL_CYCLE,has seasonal cycle
HAS_SEED_CHARACTERISTICS,has seed characteristics
HAS_SEED_LENGTH,has seed length
HAS_SHAPE,has shape
HAS_SIMILAR_SEED_TO,has similar seed to
HAS_SIZE_SIMILAR_TO,has size similar to
HAS_SPECIES,has species
HAS_TIMBER_SUPPORTS,has timber supports
HAS_TIME_TO_MATURITY,has time to maturity
HAS_TOOL,has tool
HAS_TRACING_ROOTS,has tracing roots
HAS_VALUE_BETWEEN,has value between
HAS_VARIETIES,has varieties
HAS_VARIETY,has variety
HAS_WIDER_LEAVES_THAN,has wider leaves than
HAS_WIDTH_AND_DEPTH,has width and depth
HAVE_AVERAGE_COST_OF,have average cost
HAVE_COMMON_PARTS,have common parts
HAVE_COMPONENT,have component
HAVE_EDIBLE_PARTS_IN_COMMON,have edible parts in common
HAVE_SIMILAR_GROWTH_PATTERNS,have similar growth patterns
HAY_REMOVED_DURING_PREPARATION,hay removed during preparation
HEATED_UP_IN,heated up in
HEATS_TO_PRESERVE,heats to preserve
HELPED_BY,helped by
IMPACTED_BY,impacted by
IS_IMPACTED_BY,impacted by
IMPACTED_BY_ICE_ACCUMULATION,impacted by ice accumulation
IMPORTED_FROM,imported from
IMPROVED_WITH,improved with
IMPROVES_SOIL_FERTILITY,improves soil fertility
INCLUDED_IN,included in
INCLUDES_IN_LAYERING_PROCESS,includes in layering process
INFECTED_BY,infected by
INFECTED_WITH,infected with
INFECTS,infects
IS_INFERIOR_TO,inferior to
INITIATED_RESEARCH,initiated research
INPUT_USED_FOR_MULCHING,input used for mulching
INTERPLANTED_WITH,interplanted with
INTRODUCED_CROP_INTO_MARKET_GARDENING,introduced crop into market gardening
INTRODUCED_FRAME_INTO_MARKET_GARDENING,introduced frame into market gardening
INTRODUCED_TO,introduced to
INVOLVED_IN,involved in
INVOLVES,involves
CAN_BE_IRRIGATED_WITH,irrigated with
IRRIGATED_WITH,irrigated with
IRRIGATION_METHOD,irrigation method
IRRIGATION_USED_IN_PRACTICE,irrigation used in practice
JUNE_ASSOCIATED_EVENT,june associated event
KEEPED_MOIST_AND_CLEAN_IN,keeped moist and clean in
KEPT_WARM_BY,kept warm by
KNOWN_AS,known as
LACKS_INHERENT_QUALITY_OF,lacks inherent quality
LATER_THAN,later than
LATHS_ARE_USED_WITH_PEAS,laths are used with peas
LATHS_COMBINED_WITH_STRAW_AND_WICKER_TO_CONSTRUCT_WINDBREAKS,laths combined with straw and wicker to construct windbreaks
LAYERED_WITHIN,layered within
LEAD_PIPE_MADE_OF,lead pipe made
LEAD_PIPE_USED_INSTEAD_OF_STONEWARE_END,lead pipe used instead stoneware end
LEAVES_ARE_USED_FOR,leaves are used for
CAN_BE_LEFT_IN,left in
LEFT_IN,left in
LEFT_ON_TEENS_UNTIL,left on teens until
IS_LESS_ACIDIC_THAN,less acidic than
LESS_COMMON_THAN,less common than
LESS_SENSITIVE_THAN,less sensitive than
LETTUCE_NEVER_REPLACED,lettuce never replaced
LETTUCE_VARIETY_IS_RELATED_TO,lettuce variety is related to
LIFTED,lifted
ARE_LIGHTLY_TILLED,lightly tilled
IS_LIMITED_IN_USE_BY,limited in use by
LOCATED_AT,located at
IS_LOCATED_IN,located in
LOCATED_IN,located in
LOCATED_IN_EQUIPMENT,located in equipment
LOCATED_IN_FIELD_TYPE,located in field type
LOCATED_IN_REGIONAL_GEOGRAPHY,located in regional geography
LOCATED_NEARBY,located nearby
LOCATED_ON_BANKS_OF,located on banks
LOCATION,location
LOCATION_ASSOCIATION,location association
LOCATION_LIMITATIONS_CAUSE_COMPETITION_DIFFICULTIES,location limitations cause competition difficulties
LONG_BEFORE_RIPENING_ON_VINE,long before ripening on vine
LOWERED_BY_ON_SOUTH_SIDE,lowered by on south side
MADE_OF,made
CAN_BE_MADE_FIRMER_BY,made firmer by
MADE_FROM,made from
MADE_FROM_CAST_IRON_ALTERNATIVELY,made from cast iron alternatively
MADE_FROM_SANDSTONE_ALTERNATIVELY,made from sandstone alternatively
MADE_OF_STONEWARE_ALTERNATIVELY,made stoneware alternatively
MANAGED_BY,managed by
MANNEIVAUX_CONTAIN,manneivaux contain
MANNES_CONTAIN,mannes contain
MANUFACTURED_FROM,manufactured from
MANURE_LAYERED_OVER,manure layered over
MANURE_PREPARATION,manure preparation
MANURE_TYPE_COMPARISON,manure type comparison
MARKED_FOR_SEED_PRODUCTION,marked for seed production
MARKET_GARDENER_WORKERS_FROM_PROVINCE,market gardener workers from province
MARKET_GARDENERS_REQUIRE_PROOF_OF_GOOD_CONDUCT,market gardeners require proof good conduct
MARKET_GARDENERS_WORKER_CLASS_IS_VERY_PEACEFUL,market gardeners worker class is very peaceful
MATURATES_IN_NOVEMBER,maturates in november
MATURATES_ON_OR_BEFORE,maturates on or before
MATURITY_PERIOD,maturity period
MATURITY_PERIOD_DAYS,maturity period days
MEASURED_BY,measured by
MEASURED_BY_LENGTH,measured by length
MEASURED_IN_HECTARES,measured in hectares
MEASUREMENT_UNIT_OF,measurement unit
IS_A_MEMBER_OF,member
MENTIONED_ALONGSIDE,mentioned alongside
MENTIONED_IN_TEXT,mentioned in text
MENTIONED_TOGETHER,mentioned together
MIXED_WITH,mixed with
MIXED_WITH_INPUT_MATERIAL,mixed with input material
MONITORED_USING,monitored using
IS_MORE_APPETIZING_THAN,more appetizing than
MORE_FRAGILE_THAN,more fragile than
MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,more successful in october than spring
MOVED_FROM,moved from
MOVES_BACK_TO_ACCOMMODATE_NEW_BUILDINGS,moves back to accommodate new buildings
MULCHED_UNDER,mulched under
IS_A_NATIVE_OF,native
NATIVE_TO_LOCATION,native to location
NATURALLY_GROWS_IN,naturally grows in
NEED_ATTENTION,need attention
IS_NEEDED_FOR,needed for
IS_NEEDED_TO_FERTILIZE,needed to fertilize
IS_NEEDED_TO_MAKE_FERTILE,needed to make fertile
NEEDS,needs
NEEDS_CARE_FROM,needs care from
NEEDS_MORE,needs more
NEEDS_OPERATION,needs operation
NEEDS_PROTECTION,needs protection
NEEDS_TO_BE_PREPARED_WITH_SUBSTANCE,needs to be prepared with substance
NEEDS_TO_BE_REMOVED_FROM_CLOCHES_WHEN_SUN_APPEARS,needs to be removed from cloches when sun appears
NEEDS_TO_MAKE_LAYERS_FOR,needs to make layers for
NEEDS_WATERING,needs watering
NEEDSIRRIGATION,needsirrigation
NEW_CROP_AVAILABLE,new crop available
NO_LONGER_GROWN_BY,no longer grown by
NOT COMMONLY_GROWN,not commonly grown
ARE_NOT_FOUND_IN,not found in
IS_NOT_GROWN,not grown
NOT_TRANPLANTED,not tranplanted
NOT_USED_FOR,not used for
OCCUPIES_FIELD_FOR,occupies field for
OCCURS_AFTER_SPECIFIC_CONDITION,occurs after specific condition
OCCURS_AFTER_TEMPORAL_EVENT,occurs after temporal event
OLD_DRY_MANURE_IS_USED_WITH_PEAS,old dry manure is used with peas
IS_OPENED_AND_CLOSED_AS_REQUIRED,opened and closed as required
OPTIMAL_TIME_FOR,optimal time for
OPTIONALLY_ADDED,optionally added
ORIENTED_TOWARDS_SOUTH,oriented towards south
ORIGIN_OF_CROP,origin crop
IS_ORIGINATED_FROM,originated from
ORIGINATED_FROM,originated from
ORIGINATED_FROM_LOCATION,originated from location
ORIGINATED_IN,originated in
OTHER_VARIETY_OF,other variety
OVERLAPPED_WITH,overlapped with
OVERWINTERS_AT,overwinters at
OVERWINTERS_IN,overwinters in
OWNS,owns
IS_PART_OF,part
PART_OF,part
PART_OF_FERTILIZATION_COSTS,part fertilization costs
IS_PART_OF_PRACTICE,part practice
PEAS_ARE_TO_BE_TOPPED_AT,peas are to be topped at
PEOPLE_RELATIONSHIP_ENCOURAGE_ECONOMY,people relationship encourage economy
PEOPLE_RELATIONSHIP_WORK_ALLOCATION,people relationship work allocation
PERSIL_IS_SUBTYPE_OF,persil is subtype
PEST_AFFECTED_BY,pest affected by
PEST_AFFECTS_CROP,pest affects crop
PEST_FEAR_HEAT,pest fear heat
PEST_RESISTANT_TO,pest resistant to
PEST_TREATED_WITH,pest treated with
CAN_BE_PESTED_BY,pested by
