raw_name,normalized_form
CROP_GROWS_IN,crop grows in
CROP_GROWTH_STAGE_RELATIONSHIP,crop growth stage relationship
CROP_GROWTH_STAGE_TRANSITION,crop growth stage transition
CROP_RELATIONSHIP,crop relationship
CROP_REQUIRES_SPECIFIC_SOIL_CONDITION,crop requires specific soil condition
CROP_STAGE_TRANSITION,crop stage transition
CROP_TYPE,crop type
CROP_VARIEGES,crop varieges
CROP_VARIEGY,crop variegy
CROP_VARIEIES,crop varieies
CROP_VARIETY,crop variety
CULTIVATED_AS,cultivated as
CULTIVATED_BEFORE,cultivated before
IS_CULTIVATED_BY,cultivated by
CULTIVATED_GENUS_CONTAINS_SPECIES,cultivated genus contains species
CULTIVATED_IN,cultivated in
CULTIVATED_IN_ROWS_WITH_SPACING,cultivated in rows with spacing
CULTIVATED_IN_SPECIFIC_MONTHS,cultivated in specific months
CULTIVATED_INTO_VARIETY,cultivated into variety
CULTIVATED_ON,cultivated on
CULTIVATED_TOGETHER,cultivated together
CULTIVATED_VARIETY,cultivated variety
CULTIVATED_WITH,cultivated with
CUTS_WEEDS_FROM,cuts weeds from
DAUGHTERS_MARRY_WITHIN_FAMILY_PROFESSION,daughters marry within family profession
DEFINED_AS,defined as
DEGENERATESINTO,degeneratesinto
DELIVERED_FOR_CONSUMPTION,delivered for consumption
DERIVED_FROM,derived from
DESCRIBED_AT,described at
DESCRIBED_BY,described by
DEVELOPS_INTO,develops into
DIFFERENT_FROM,different from
DIFFERENT_GROWTH_REQUIREMENTS,different growth requirements
DIFFERS_FROM,differs from
IS_DISTINGUISHED_BY,distinguished by
DOES_NOT_BREAK_UP_IF_TOO_HARD_OR_COMPACT,does not break up if too hard or compact
DOES_NOT_USE,does not use
DOORMAT_CONSTRUCTED_USING,doormat constructed using
ECONOMIC_RELATIONSHIP,economic relationship
EFFECTED_BY,effected by
EFFECTED_BY_WEATHER_CONDITIONS,effected by weather conditions
IS_EFFECTIVE_NO_LONGER_THAN_FIVE_OR_SIX_METERS_FROM_THE_WALL,effective no longer than five or six meters from wall
EFFECTIVELY_CUTS_WEEDS_FROM,effectively cuts weeds from
EMERGED_AT,emerged at
EMPLOYS,employs
EQUIPMENT_COSTS,equipment costs
EQUIPMENT_FOR,equipment for
EQUIPMENT_USED_FOR,equipment used for
EQUIPPED_WITH,equipped with
EQUIPPED_WITH_BORDOIR,equipped with bordoir
ESCAROLE_BOUND_WITH,escarole bound with
EXPOSED_TO,exposed to
IS_EXPOSED_TO_DAMAGE_FROM,exposed to damage from
EXPOSED_TO_SLOPE,exposed to slope
EXPOSED_TO_WEATHER,exposed to weather
FACE_SOUTH,face south
FACES_EAST_TO_WEST,faces east to west
FARMED_USING,farmed using
FARMING_PRACTICES,farming practices
FEARLESS_OF,fearless
FERTILIZED_BY,fertilized by
FERTILIZED_WITH,fertilized with
FERTILIZER_APPLIED_TO_SOIL_TYPE,fertilizer applied to soil type
FERTILIZER_TYPES,fertilizer types
FIELD_ARRANGEMENT_USING_TOOLS_AND_EQUIPMENT,field arrangement using tools and equipment
FILLED_WITH,filled with
FITS_UNDER_BELL,fits under bell
FLOWED_THROUGH,flowed through
FOCUSSED_ON,focussed on
FORMING_APPLES_DATE_ESTIMATE,forming apples date estimate
FOUNDED_PRIZE,founded prize
FRAME_CONSTRUCTED_IN,frame constructed in
FRAME_CONTAINS_PLANTS,frame contains plants
GERMINATED_IN,germinated in
GIVEN_AIR_GRADUALLY,given air gradually
GREEN_ROMAINE_NEEDS_FREQUENT_WATERING,green romaine needs frequent watering
GREEN_ROMAINE_WAS_SOWN_AND_PLANTED_IN,green romaine was sown and planted in
GREY_ROMAINE_IS_HARVESTED_BEFORE_FROSTS,grey romaine is harvested before frosts
GREY_ROMAINE_IS_PLANTED_IN,grey romaine is planted in
GREY_ROMAINE_IS_REPLACED_BY_ESCAROLE_AND_CHICORY,grey romaine is replaced by escarole and chicory
GREY_ROMAINE_IS_SOWN_IN_SUMMER,grey romaine is sown in summer
GREY_ROMAINE_WAS_SOWN_AND_PLANTED_IN,grey romaine was sown and planted in
IS_GROUPED_WITH,grouped with
GROWN_AROUND,grown around
GROWN_AT,grown at
GROWN_AT_DIFFERENT_TIME,grown at different time
GROWN_BEFORE,grown before
GROWN_FROM,grown from
GROWN_IN,grown in
IS_GROWN_IN,grown in
GROWN_IN_DECMBER,grown in decmber
GROWN_IN_GREENHOUSE,grown in greenhouse
GROWN_IN_SPACES_OF,grown in spaces
GROWN_IN_STRUCTURES,grown in structures
GROWN_ON_SLOPE,grown on slope
GROWN_UNDER,grown under
IS_GROWN_UNTIL,grown until
GROWN_USING_TECHNIQUE,grown using technique
GROWN_VARIETY,grown variety
GROWN_WITH,grown with
GROWS_AFTER,grows after
GROWS_AT_SAME_TIME_AS,grows at same time as
GROWS_FROM,grows from
GROWS_IN,grows in
GROWS_IN_COASTAL_PLOTS,grows in coastal plots
GROWS_INTO_APPLES,grows into apples
GROWS_INTO_APPLES_TIME_DIFFERENCE,grows into apples time difference
GROWS_TO_HEIGHT,grows to height
GROWS_UNDER,grows under
GROWS_WITHIN,grows within
GROWTH_STAGE,growth stage
GROWTH_STAGE_OF,growth stage
GROWTH_STAGE_EVENT,growth stage event
GROWTH_STAGE_ON_DATE,growth stage on date
GROWTH_STAGE_TRANSITION,growth stage transition
GROWTH_STAGES,growth stages
HAILS_FROM,hails from
HAND_PLANTED,hand planted
HAPPENED_BEFORE_PLANTING_OF_MONTHS_IN_YEAR,happened before planting months in year
HARDENED_IN,hardened in
HARROWED_WITH,harrowed with
HARVEST_DATE,harvest date
IS_HARVESTED,harvested
HARVESTED_AFTER,harvested after
IS_HARVESTED_AT,harvested at
HARVESTED_BEFORE,harvested before
HARVESTED_DURING,harvested during
HARVESTED_FROM,harvested from
HARVESTED_IN,harvested in
HARVESTED_IN_MONTH_OF,harvested in month
HARVESTED_ON,harvested on
HAS_BENEFIT,has benefit
HAS_BETTER_QUALITY_THAN_YORK_CABBAGE,has better quality than york cabbage
HAS_CAPACITY,has capacity
HAS_CHARACTERISTIC,has characteristic
HAS_CHARACTERISTICS,has characteristics
HAS_COMPONENT_PARTS,has component parts
HAS_COMPONENTS,has components
HAS_COST,has cost
HAS_DESIGN_FEATURE,has design feature
HAS_EQUIPMENT,has equipment
HAS_EQUIPMENT_TYPE,has equipment type
HAS_FRAME,has frame
HAS_GROWTH_STAGE,has growth stage
HAS_MATERIAL,has material
HAS_PURPOSE,has purpose
HAS_REMOVABLE_LEAVES,has removable leaves
HAS_A_ROOT_BALL_OF,has root ball
HAS_ROOTS,has roots
HAS_START_DATE_FOR_SEED_SOWING,has start date for seed sowing
HAS_STRUCTURE_AND_EQUIPMENT,has structure and equipment
HAS_SUBSPECIES,has subspecies
HAS_SUBTYPE,has subtype
HAS_TOOL,has tool
HAS_VARIETY,has variety
HAS_WARMER_TEMPERATURES_THAN,has warmer temperatures than
HEATS_UP_FOR,heats up for
HELP_PREVENTED_WITH,help prevented with
HOE_USED_FOR_EDGE,hoe used for edge
IS_HOTTER_THAN,hotter than
IMPACTS,impacts
IMPORTED_FROM,imported from
IMROVES_SOIL_CONDITION,imroves soil condition
IS_INCLUDED_IN,included in
INCLUDED_IN_FORCED_CULTIVATION,included in forced cultivation
INCREASE_FERTILITY_OF,increase fertility
INFLUENCES,influences
INPUT_SOURCE,input source
INSTALLED_AT,installed at
INSTALLED_IN,installed in
INTENDED_TO_HELP,intended to help
INTERPLANTED_WITH,interplanted with
INTRODUCED_BY,introduced by
INVOLVES_REMOVAL_OF,involves removal
IRRIGATION_METHOD,irrigation method
ISLOCATED_IN,islocated in
LAND_PRICE_AT,land price at
LAND_QUALITY_AT,land quality at
LATER_THAN_SUGARLOAF_CABBAGE,later than sugarloaf cabbage
LATER_THAN_YORK_CABBAGE,later than york cabbage
LEAF_SHAPE_DIFFERENCE,leaf shape difference
LEAVES_CUT_OFF_TO_LENGTH_OF,leaves cut off to length
LETTUCE_GROWTH_LOCATION,lettuce growth location
LETTUCE_PLANTING_CONDITIONS,lettuce planting conditions
LETTUCE_PLANTING_REQUIREMENTS,lettuce planting requirements
LIFTED_FROM_NURSERY_WITH_HOE_AND_PULLED_OUT_OF_GROUND,lifted from nursery with hoe and pulled out ground
LOCATED_AT,located at
LOCATED_BESIDE,located beside
IS_LOCATED_IN,located in
LOCATED_IN,located in
LOCATED_NEAR,located near
IS_LOCATED_UNDER,located under
LOCATION_OF_FARMING_PRACTICE,location farming practice
IS_MADE_OF,made
MADE_OF,made
MADE_FROM,made from
MAINTAINED_AT_DISTANCE_FROM,maintained at distance from
MAINTAINED_WITH,maintained with
MAINTAINS_FERTILITY_OF,maintains fertility
MANAGED_BY,managed by
MANNES_CONTAIN,mannes contain
MANNES_COST,mannes cost
MANUFACTURED_WITH,manufactured with
MANURE_APPLIED_ONTO,manure applied onto
MANURE_USED_FOR_LAYER_BUILDUP,manure used for layer buildup
MARKET_GARDENER_CHILDREN_RELATIONSHIP,market gardener children relationship
MARKET_GARDENER_ROLE,market gardener role
MARKET_GARDENING_ASSOCIATED_WITH,market gardening associated with
MARKET_GARDENING_REQUIRES_MAINTENANCE_FERTILIZER,market gardening requires maintenance fertilizer
MARRIED_TO,married to
MASTER_OF,master
MASTER_WORKER_ROLE_IN_FIELD_ARRANGEMENT,master worker role in field arrangement
MATCOVERED_WITH,matcovered with
MATERIAL_INCLUDED_IN,material included in
MATURITY_REACHED_AT,maturity reached at
MEANS_HARVEST_IN_AGRICULTURAL_CONTEXT,means harvest in agricultural context
MENTIONED_IN,mentioned in
MIXED_WITH,mixed with
MODIFIES_SOIL_STRUCTURE,modifies soil structure
MOVE_BACK,move back
MULCH_RELATIONSHIP,mulch relationship
NEEDS_CARE_FROM,needs care from
NEEDS_CONDITION,needs condition
NEEDS_PROTECTION_AGAINST,needs protection against
NEEDS_REMOVAL,needs removal
NEGATIVELY_IMPACTS,negatively impacts
NEIGHBORING_PLANT,neighboring plant
NEW_LAND_PREPARATION_REQUIRES,new land preparation requires
IS_NOT_GROWN,not grown
NOT_GROWN_IN,not grown in
NOT_PLANTED_IN,not planted in
OBTAINED_FROM,obtained from
OCCUPIES_AREA_OF,occupies area
OCCURRED_BEFORE,occurred before
OCCURS_BEFORE_HARVEST,occurs before harvest
OCCURS_IN,occurs in
OCCURS_IN_WEEKS_AFTER_PLANTING,occurs in weeks after planting
OLD_DRY_MANURE_PREVENTS_PENETRATION_OF,old dry manure prevents penetration
OPENED_COMPETITION,opened competition
OPENED_DURING_DAYTIME,opened during daytime
OWNED_BY,owned by
IS_PART_OF,part
PART_OF,part
PEAS_GROW_FROM,peas grow from
PEOPLE_CONTRIBUTIONS,people contributions
PEOPLE_RELATIONSHIPS,people relationships
IS_PERENNIAL_IN,perennial in
PERFORMED_BY_IN_MONTHS_OF_PLANTING,performed by in months planting
PERMANENTLY_PLANTED,permanently planted
PEST_AFFECTS_CROP,pest affects crop
PEST_OF_CROP,pest crop
PEST_DISEASE_RELATIONSHIP,pest disease relationship
PESTED_BY,pested by
PLACED_IN,placed in
PLACED_NEARBY,placed nearby
PLACED_ONTO,placed onto
PLANTED_AFTER,planted after
PLANTED_AT,planted at
PLANTED_AT_DIFFERENT_TIMES_OF_YEAR,planted at different times year
IS_PLANTED_AT_DISTANCE_OF_AT_LEAST,planted at distance at least
PLANTED_AT_SPECIFIC_TEMPERATURE,planted at specific temperature
PLANTED_BEFORE,planted before
IS_PLANTED_DURING,planted during
PLANTED_IN,planted in
PLANTED_IN_BEDS_AT_SPECIFIC_DEPTH,planted in beds at specific depth
PLANTED_IN_FRAME_AFTER,planted in frame after
PLANTED_IN_LAYER,planted in layer
PLANTED_IN_NURSERY,planted in nursery
PLANTED_IN_ROWS,planted in rows
PLANTED_IN_SEASON,planted in season
PLANTED_ON,planted on
PLANTED_ON_DATE,planted on date
PLANTED_UNDER,planted under
PLANTED_UNDER_STRUCTURES,planted under structures
PLANTED_WITH,planted with
PLANTED_WITH_POTTING_SOIL_OF_DEPTH_IN_MILLIMETERS,planted with potting soil depth in millimeters
IS_PLANTED_WITH_PRECAUTION,planted with precaution
PLANTED_WITH_SPACING,planted with spacing
PLANTING_DATE,planting date
PLANTING_DATES,planting dates
PLANTING_PREPARATION,planting preparation
PLANTING_REQUIRES_INPUT,planting requires input
PLANTING_STAGE,planting stage
PLANTS_AFFECTED_BY_WEATHER_CONDITIONS,plants affected by weather conditions
PLOWED_WITH,plowed with
POTTING_IN,potting in
POTTING_SOIL_COVERS,potting soil covers
POWERED_BY,powered by
PRACTICE_RELATED_TO,practice related to
PRACTICED_ON,practiced on
PRACTISED_IN,practised in
PRECAUTION_TAKEN AGAINST,precaution taken against
PRECAUTIONARY_MEASURE_DURING_PLANT_TRANSFER,precautionary measure during plant transfer
PRECEDES,precedes
PRECEDES_IN_TIME,precedes in time
PREFERED_WITH,prefered with
PREFERENCE_OVER,preference over
PREFERENTIAL_GROWTHCONDITIONS,preferential growthconditions
PREFFERED_FOR_SOIL_TYPE,preffered for soil type
PREVENTS_GREEN_SKIN,prevents green skin
PREVENTS_HARDENING_OF,prevents hardening
PREVENTS_PENETRATION_OF,prevents penetration
PRODUCES,produces
PRODUCES_FRUIT_IN,produces fruit in
PRODUCES_HEAD_AFTER,produces head after
PRODUCES_SEASONS_IN_TIME_FRAME,produces seasons in time frame
PRODUCES_SOIL_CONDITION,produces soil condition
IS_PRONE_TO,prone to
PRONE_TO_PROBLEM,prone to problem
PROTECTED_AGAINST,protected against
PROTECTED_AGAINST_DAMAGE,protected against damage
PROTECTED_BY,protected by
PROTECTED_FROM,protected from
PROTECTED_FROM_AIR,protected from air
PROTECTED_WITH,protected with
PROTECTED_WITH_MANURE,protected with manure
PROVIDES_HEAT_AND_HUMIDITY,provides heat and humidity
PROVIDES_PROTECTION_AND_CONTROLLED_ENVIRONMENT,provides protection and controlled environment
PROVIDES_TO_ESTABLISHMENT,provides to establishment
PUBLISHED_BY,published by
PULL_AND_REPLANT,pull and replant
PURCHASE_RELATIONSHIP,purchase relationship
REACH_GROWTH_STAGE,reach growth stage
REACHES_MATURITY_AT,reaches maturity at
READY_FOR_PLANTING_AT,ready for planting at
READY_TO_SEND_TO_MARKET_IN,ready to send to market in
IS_RECOMMENDED_FOR,recommended for
RECOMMENDED_FOR_SLOPE_TYPE,recommended for slope type
RECRUITED_BY,recruited by
REDUCED_TO,reduced to
REGAIN_FRESHNESS_THROUGH_WATER,regain freshness through water
REINFORCED_WITH,reinforced with
IS_RELATED_TO,related to
RELATED_TO,related to
IS_RELATED_TO_FARMING_PRACTICES,related to farming practices
RELATES_TO,relates to
RELATIONSHIP_BUILT_WITH,relationship built with
RELATIONSHIP_CONTAINING,relationship containing
RELATIONSHIP_TYPE_FARMED_IN,relationship type farmed in
RELATIONSHIP_WITH_FARMERS,relationship with farmers
RELEASED_FOR_CONSUMPTION,released for consumption
RELIGIOUS_CEREMONY_ATTENDED_BY,religious ceremony attended by
REMAINS_HEALTHY_UNTIL,remains healthy until
REMOVE_IN_MONTH,remove in month
REMOVES_LEAVES_DURING_TRANSPLANT,removes leaves during transplant
RENT_AT,rent at
REPLACED_BY,replaced by
REQUIREMENT_FOR_GROWTH,requirement for growth
REQUIRES,requires
REQUIRES_AIR_CIRCULATION,requires air circulation
REQUIRES_BUTTERING,requires buttering
REQUIRES_CONDITION,requires condition
REQUIRES_CONDITIONS,requires conditions
REQUIRES_FOR_GROWTH_STAGE,requires for growth stage
REQUIRES_GROWTH_STAGE_MANAGEMENT,requires growth stage management
REQUIRES_MORE_HUMAN_RESOURCES_THAN,requires more human resources than
REQUIRES_PROTECTION_FROM,requires protection from
REQUIRES_REGULAR_WATERING,requires regular watering
REQUIRES_WATER_WITH_SPECIFIC_TEMPERATURE,requires water with specific temperature
REQUIRES_WATERING,requires watering
REQUIRES_WATERING_IN,requires watering in
REQUIRES_WINTER_PROTECTION,requires winter protection
RESEMBLES,resembles
RESPECTS,respects
RETAINS_MOISTURE_IN,retains moisture in
RETAINS_WHITENESS_METHOD,retains whiteness method
RETRANSPLANTED_FROM,retransplanted from
RETURNS_TO_WARM,returns to warm
ROOTS_CUT_TO_LENGTH_OF,roots cut to length
ROUTED_ONTEENS,routed onteens
SAVINGS_BANK_DEPOSITOR,savings bank depositor
SEASONAL_ASSOCIATION,seasonal association
SEASONAL_EFFECTS_ON_PLANTING,seasonal effects on planting
SEASONALITY_FOR_GROWTH,seasonality for growth
SEED_COVER_METHOD,seed cover method
SEED_PLANTED_AT_DEPTH_OF_IN_MILLIMETERS_AND_WEIGHT_IN_GRAMS,seed planted at depth in millimeters and weight in grams
SEED_TEMP_REQUIREMENT,seed temp requirement
SEEDS_REQUIRE_SOFT_BEDDING,seeds require soft bedding
SELECTED_AT,selected at
SELECTED_BASED_ON_QUALITY,selected based on quality
SELECTED_FOR_PLANTING,selected for planting
SENSITIVE_TO_WEATHER,sensitive to weather
SERVES_AS_ALTERNATIVE,serves as alternative
SET_UP_FARMING_EQUIPMENT,set up farming equipment
SETS_SEED_LESS_QUICKLY_THAN,sets seed less quickly than
SETUP_EQUIPMENT,setup equipment
SETUP_FRAMEWORK,setup framework
SEWN_WITH,sewn with
SHADOWED_BY,shadowed by
SHIELDDED_AGAINST,shieldded against
SHOULD_NOT_BE_WATERED_IN,should not be watered in
SIMILAR_GROWING_REQUIREMENTS,similar growing requirements
SLOPED_TOWARDS,sloped towards
SOIL_COMPONENTS_RELATIONSHIP,soil components relationship
SOIL_CONDITION_AFFECTS,soil condition affects
SOIL_IMPROVED_BY_PLOUGHING,soil improved by ploughing
SOIL_LACKS_COHESION,soil lacks cohesion
SOIL_PREPARATION_BY_EQUIPMENT_USE,soil preparation by equipment use
SOIL_QUALITY_IMPACTS_PLANT_GROWTH,soil quality impacts plant growth
SOIL_TREATMENT_RELATIONSHIP,soil treatment relationship
SOIL_TYPE_RELATIONSHIP,soil type relationship
SOIL_TYPE_REQUIRED_FOR_PLANTING,soil type required for planting
SOIL_TYPE_REQUIRES_FATTY_FERTILIZER,soil type requires fatty fertilizer
SOIL_TYPE_REQUIRES_LIGHTER_FERTILIZER,soil type requires lighter fertilizer
SOIL_TYPES,soil types
SOLD_TO,sold to
SOWED_IN,sowed in
SOWN_AFTER,sown after
SOWN_AT_SAME_TIME,sown at same time
SOWN_AT_SPECIFIC_TIME_OF_YEAR,sown at specific time year
SOWN_DURING,sown during
CAN_BE_SOWN_IN,sown in
IS_SOWN_IN,sown in
SOWN_IN,sown in
SOWN_IN_MONTH,sown in month
SOWN_ON,sown on
SPACED_APART_IN_ROWS,spaced apart in rows
SPACED_AT,spaced at
SPACED_WITH,spaced with
SPACES_APART_IN,spaces apart in
SPATIAL_AGRICULTURAL_EVENTS,spatial agricultural events
SPENT_BY_ESTABLISHMENT,spent by establishment
SPREAD_OVER,spread over
SPREAD_WITH,spread with
SPREADS_UNDER,spreads under
SPRINKLED_WITH,sprinkled with
SPROUTED_IN,sprouted in
STACKED_WITH,stacked with
STOPPED_GROWING_ONTEENS,stopped growing onteens
STORED_IN,stored in
STRAW_PLUGS_USE_FOR,straw plugs use for
STRUCTURE_COSTS,structure costs
STUFFED_AND_PUT_ON_THE_ROAD,stuffed and put on road
SUCCEEDED_BY,succeeded by
IS_SUITABLE_FOR,suitable for
SUPPORTED_BY,supported by
SUPPORTS_PLANT_GROWTH,supports plant growth
SYNONYMOUS_WITH,synonymous with
THICKNESS_OF_SOLILAYER,thickness solilayer
THIN_OUT_BY_REMOVING,thin out by removing
THIN_OUT_BY_REMOVING_FOR_SALE,thin out by removing for sale
THINNED_OUT_IN,thinned out in
THROWN_IN_TO_FINISH_BREAKING_UP,thrown in to finish breaking up
TIED_WITH,tied with
TOPPED,topped
TOPPED_AT_SPECIFIC_HEIGHT,topped at specific height
TRANSPLANTED_TO,transplanted to
TRANSPLANTED_UNDER,transplanted under
TRANSPLANTED_UNDER_ALTERNATIVE,transplanted under alternative
IS_TRANSPORTED_BY,transported by
TRANSPORTED_VIA,transported via
TREATED_WITH,treated with
TREATED_WITH_POTTING_SOIL,treated with potting soil
TURNIPS_AND_RADISHES_HARVESTED_IN_SUMMER,turnips and radishes harvested in summer
IS_TYPE_OF,type
UNCOVER_AT_GROUND_LEVEL_WITHOUT_USING_IN_TIME_OF_HEAVY_FROSTS,uncover at ground level without using in time heavy frosts
USE_IN_MONTHS_OF_PLANTING,use in months planting
USE_IN_TIME_OF_TEMPERATURE_OF_MONTHS_IN_YEAR,use in time temperature months in year
USED_AS_FERTILIZER,used as fertilizer
USED_AS_INPUT_FOR,used as input for
USED_AS_MULTIPURPOSE_RESOURCE,used as multipurpose resource
IS_USED_BY,used by
USED_BY,used by
USED_BY_EQUIPMENT,used by equipment
IS_USED_FOR,used for
USED_FOR,used for
USED_FOR_BASE,used for base
USED_FOR_BASE_OF,used for base
USED_FOR_CONSUMPTION,used for consumption
USED_FOR_MEASURING_TEMPERATURE,used for measuring temperature
USED_FOR_PLANTING,used for planting
USED_FOR_PRODUCTION,used for production
USED_FOR_WATERING,used for watering
IS_USED_IN,used in
USED_IN,used in
USED_IN_CONJUNCTION_WITH,used in conjunction with
USED_IN_FORCED_CULTIVATION,used in forced cultivation
USED_IN_PREPARATION_OF,used in preparation
USED_IN_QUANTITY,used in quantity
USED_IN_RECIPE,used in recipe
USED_ON,used on
USED_ON_LAYERS,used on layers
USED_TO_PREPARE,used to prepare
USED_TO_PROTECT,used to protect
USED_WITH,used with
USEFUL_FOR,useful for
USES,uses
USES_AS_FERTILIZER,uses as fertilizer
USES_EQUIPMENT,uses equipment
USES_MACHINE,uses machine
USES_TO_CONTROL_PESTS,uses to control pests
USES_TO_PREVENT,uses to prevent
VALUED_AT,valued at
IS_VARIETY_OF,variety
VARIETY_OF,variety
VEGETABLE_REQUIRES_WATERING,vegetable requires watering
WAGES_OF,wages
WARMED_UP_WITH,warmed up with
WATERED_AFTER_TRANSPLANTING,watered after transplanting
WATERED_AT,watered at
WATERED_BY,watered by
WATERED_DURING,watered during
WATERED_IN,watered in
WATERED_WITH,watered with
WATERING_CAN_USED_FOR_COPIOUS_WATERINGS,watering can used for copious waterings
WATERING_METHOD_USED,watering method used
WATERING_SCHEDULE,watering schedule
WATERS_AND_FERTILIZES,waters and fertilizes
WEATHER_CLIMATE_RELATIONSHIP,weather climate relationship
WEATHER_IMPACT,weather impact
WEATHER_IMPACTS_ON_CROPS,weather impacts on crops
WHITE_COLOR_PRESERVED,white color preserved
WINTER_CHERVIL_SOWN_IN,winter chervil sown in
WORKED_ON,worked on
WORKED_WITH,worked with
WORKS_AT,works at
WORKS_WITH,works with
YIELD_RELATIONSHIPS,yield relationships
