raw_name,normalized_for_embedding,count
CONTINUE_TO_BE_TRANSPLANTED,continue to be transplanted,6
CONTINUES_TO_BE_HEATED,continues to be heated,1
CONTRIBUTED_TO,contributed to,1
CONVERTED_TO,converted to,1
COOLING_LOCATION,cooling location,1
COOPER_CINNAMON_USED_IN_LEAD_PIPE_END,cooper cinnamon used in lead pipe end,1
COSTS,costs,2
COSTS_ASSOCIATED_WITH_EQUIPMENT,costs associated with equipment,2
COUNTER_PLANTED_WITH,counter planted with,1
COVERED_BY,covered by,2
COVERED_FOR,covered for,1
COVERED_FROM,covered from,1
COVERED_IN,covered in,1
IS_COVERED_WITH,covered with,39
COVERED_WITH_AT_NIGHT,covered with at night,1
COVERED_WITH_FRAMES,covered with frames,1
COVERED_WITH_LITTER_OR_MAT_DURING_DAY,covered with litter or mat during day,1
COVERED_WITH_MANURE,covered with manure,1
COVERED_WITH_SOIL,covered with soil,1
COVERED_WITH_STRAW_MATS,covered with straw mats,1
COVERS_SOIL_FOR,covers soil for,1
COVERS_WITH,covers with,1
CREATED_EDGE_ON_NORTH_SIDE,created edge on north side,1
CROP_ASSOCIATED_WITH_EQUIPMENT,crop associated with equipment,1
CROP_ASSOCIATION,crop association,1
CROP_AVAILABILITY_SEASON,crop availability season,1
CROP_CHARACTERISTIC,crop characteristic,1
CROP_GRAFTING,crop grafting,1
CROP_GROWN,crop grown,2
CROP_GROWN_AT,crop grown at,1
CROP_GROWN_FOR,crop grown for,1
CROP_GROWN_FROM,crop grown from,1
CROP_GROWTH_STAGE_TRANSITION,crop growth stage transition,1
CROP_PLANTED,crop planted,1
CROP_PREFERENCE_LOCATION,crop preference location,1
CROP_TYPE,crop type,6
CROP_VARIEGES,crop varieges,3
CROP_VARIEGY,crop variegy,1
CROP_VARIEIES,crop varieies,2
CROP_VARIETY,crop variety,6
CROP_VARIETY_RELATED_TO_CROP,crop variety related to crop,4
CROP_VARIEYT,crop varieyt,1
CROP_VARIEYT_RELATIONSHIP,crop varieyt relationship,1
CULTIVATED,cultivated,3
CULTIVATED_AFTER,cultivated after,1
CULTIVATED_AS,cultivated as,2
CULTIVATED_AT,cultivated at,2
CULTIVATED_BY,cultivated by,2
CULTIVATED_DURING,cultivated during,5
CULTIVATED_FOR,cultivated for,1
CULTIVATED_FROM,cultivated from,1
CULTIVATED_GENUS_CONTAINS_SPECIES,cultivated genus contains species,1
CULTIVATED_IN,cultivated in,2
CULTIVATED_IN_ROWS,cultivated in rows,1
CULTIVATED_ON,cultivated on,3
CULTIVATED_TOGETHER,cultivated together,1
CULTIVATED_UNDER_SPECIFIC_CONDITIONS,cultivated under specific conditions,1
CULTIVATED_UNTIL,cultivated until,2
CULTIVATED_USING,cultivated using,2
CULTIVATED_USING_FORCED_CULTIVATION_METHOD,cultivated using forced cultivation method,1
CULTIVATED_VARIETY,cultivated variety,1
CULTIVATED_WITH,cultivated with,1
CULTIVATED_WITH_TOOL,cultivated with tool,1
CUT_AT,cut at,2
CUT_BACK_REGULARLY,cut back regularly,1
CUT_BY,cut by,1
CUT_DURING,cut during,1
ARE_CUT_FLUSH_WITH_THE_GROUND_IF THEY_ARE_DRY,cut flush with ground if they are dry,1
CUT_IN_YEAR,cut in year,1
CUT_WITH,cut with,1
Damaged_BY,damaged by,1
DEEPENED,deepened,1
DEGENERATES_EASILY,degenerates easily,1
DEPANELLED_AT,depanelled at,1
DEPICTED_BY,depicted by,1
DEPICTS,depicts,1
DERIVED_FROM,derived from,1
DESTROYED_BY,destroyed by,1
DESTROYED_IF_NOT_SPARRED_FOR_SEED,destroyed if not sparred for seed,1
DESTRUCTIVE_IMPACT_ON_PLANTS,destructive impact on plants,1
DEVELOPED_BY,developed by,1
DEVELOPS_INTO,develops into,1
DIFFERENT_CULTURE_THAN,different culture than,1
IS_DIFFERENT_FROM,different from,1
DIFFERENT_PLANTING_METHOD,different planting method,1
DIFFERENT_SOIL_CONDITION,different soil condition,1
DIFFERS_FROM,differs from,1
DIFFERS_FROM_PARENT_PLANT,differs from parent plant,1
DIFFERS_IN,differs in,1
DIFFERS_IN_ACCESSIBILITY,differs in accessibility,1
DIFFERS_IN_FLESH_COLOR_FROM,differs in flesh color from,1
DIFFERS_IN_GROWTH_FROM,differs in growth from,1
DIFFERS_IN_QUALITY_FROM,differs in quality from,1
DIFFERS_IN_RUNNIG_FROM,differs in runnig from,4
DIFFERS_IN_SHAPE_FROM,differs in shape from,1
DIFFERS_IN_SIZE_AND_LATER_BY,differs in size and later by,1
IS_DIFFICULT_TO_DETERMINE_FOR,difficult to determine for,2
DISEASE_AFFECTED_BY,disease affected by,3
DISEASE_AFFECTS_CROP,disease affects crop,2
IS DIVIDED_BY,divided by,1
DIVIDED_INTO,divided into,1
DOCUMENTED_AT,documented at,1
DOES_NOT_NEED_TRANSPLANTING_DUE_TO_SOIL_CONDITION,does not need transplanting due to soil condition,1
DOES_NOT_RESULT_IN,does not result in,1
EARLY_PLANTED_BY,early planted by,1
IS_EASIER_TO_WORK_WITH_THAN,easier to work with than,1
EATEN_BY,eaten by,1
EDGE_WITH,edge with,1
EFFECTED_BY,effected by,1
EFFECTED_BY_STRUCTURES,effected by structures,1
EMPLOYED_IN_MARKET_GARDENING,employed in market gardening,1
EMPLOYS,employs,1
ENCOURAGED_TO_CONTRIBUTE,encouraged to contribute,1
ENCROACHES_WITH,encroaches with,1
ENHANCES_PRODUCTIVITY,enhances productivity,1
EQUIPMENT_COMPONENT_OF,equipment component,1
EQUIPMENT_DEVELOPED_TO_HELP_FARMS_USE_EQUIPMENT_BETTER,equipment developed to help farms use equipment better,1
EQUIPMENT_USED_BY,equipment used by,1
EQUIPMENT_USED_FOR_PREPARATION,equipment used for preparation,1
IS_EQUIPPED_WITH,equipped with,5
MAY_BE_EQUIVALENT_TO,equivalent to,1
ESTABLISHED_IN,established in,1
EXCELLENT_QUALITY,excellent quality,1
EXERTS_EFFECT_ON,exerts effect on,1
EXHIBITS_CHARACTERISTIC,exhibits characteristic,1
EXPECTED_AT,expected at,1
EXPERIMENTED_BY,experimented by,1
EXPOSED_TO,exposed to,1
EXPOSED_TO_AIR_AROUND,exposed to air around,1
EXPOSED_TO_AIR_BY_MEANS_OF,exposed to air by means,1
EXPOSED_TO_LIGHT_THROUGH,exposed to light through,1
EXPOSED_TO_NATURAL_ELEMENT_FOR_AIRING,exposed to natural element for airing,1
EXPOSED_TO_WIND,exposed to wind,1
EXPOSURE_INFLUENCE_ON_GROWTH,exposure influence on growth,1
EXTENDS_INTO_PATHS,extends into paths,1
EXTRACTED_FROM_ECONOMICS_DATA,extracted from economics data,1
FAMILY_CLASSIFICATION,family classification,1
FARMING_PRACTICE,farming practice,1
FARMING_PRACTICE_RELATED,farming practice related,2
FED_BY,fed by,1
FERTILIZED_WITH,fertilized with,1
FIELD_PREPARATION_PRACTICE,field preparation practice,1
FILLED_WITH,filled with,1
FILLED_WITH_SOIL,filled with soil,1
IS FITTED_WITH,fitted with,1
FIX,fix,1
FLOWERS_IN,flowers in,1
FOLLOW_EXAMPLE_OF,follow example,1
FOLLOWED_BY,followed by,3
FOLLOWED_BY_CROP,followed by crop,1
FOLLOWS_AFTER,follows after,1
FOLLOWS_IN_DEVELOPMENT,follows in development,1
FOLLOWS_LAYERS,follows layers,5
CAN_BE_FORCED_IN_NOVEMBER_WITH_16_CM_COMPOST_LAYER_AND_CLOVER,forced in november with 16 cm compost layer and clover,1
FORMS_INTO,forms into,1
FOUND_IN,found in,2
FOUNDED_PRIZE,founded prize,1
FRAME_CONTAINS_PLANT,frame contains plant,1
FRAMES_AREUSED_WITH_PEAS,frames areused with peas,1
FREE_FROM,free from,1
FREEZE_IMPACT,freeze impact,1
FRUITS_AFFECTED_BY,fruits affected by,1
GAVE_BACK,gave back,1
GENERATED_FROM,generated from,2
GERMINATED_IN,germinated in,1
GERMINATES_FOR,germinates for,2
GERMINATES_WITHIN,germinates within,1
GERMINATION_TIMEFRAME,germination timeframe,1
GEUREA_FAMILY_CONTAINS,geurea family contains,1
GIVEN_AIR_GRADUALLY,given air gradually,1
GIVEN_AIR_USING,given air using,1
GIVEN_AIR_WHEN_POSSIBLE,given air when possible,1
GOES_TO_SEED,goes to seed,1
IS_GOOD_FOR,good for,1
GOPTED_WITH,gopted with,1
GREENER_THAN,greener than,2
GREW_STRONG_ENOUGH_TO_BE_TRANSPLANTED_IN,grew strong enough to be transplanted in,1
GROUPED_WITH,grouped with,1
GROWN_AFTER,grown after,2
CAN_BE_GROWN_AGAIN_IN,grown again in,1
GROWN_AROUND,grown around,1
GROWN_AS,grown as,1
GROWN_AT,grown at,1
GROWN_BY,grown by,3
IS_GROWN_BY_MARKET_GARDENERS_IN_LOCATION,grown by market gardeners in location,3
GROWN_FOR,grown for,1
IS_GROWN_FOR_FORCED_CULTIVATION,grown for forced cultivation,1
GROWN_FROM,grown from,2
IS_GROWN_IN,grown in,82
GROWN_IN_CLOSE_PROXIMITY_TO,grown in close proximity to,1
GROWN_IN_CONDITION,grown in condition,1
GROWN_IN_FRAMES,grown in frames,1
GROWN_IN_MANURE_FILLED_PITS,grown in manure filled pits,1
GROWN_IN_MONTHS_OF_THE_YEAR,grown in months year,1
GROWN_IN_PREFERENCE_TO,grown in preference to,1
GROWN_IN.SEASON,grown in season,2
GROWN_IN_SPECIFIC_REGIONS_OR_SETTINGS,grown in specific regions or settings,1
GROWN_IN.STAGE,grown in stage,1
GROWN_NEAR,grown near,1
GROWN_ON,grown on,4
GROWN_ON_COASTAL_REGIONS,grown on coastal regions,1
GROWN_SIMILARLY_TO,grown similarly to,1
GROWN_TO_LENGTH,grown to length,1
GROWN_UNDER,grown under,6
GROWN_UNDER_STRUCTURE,grown under structure,1
GROWN_WITH,grown with,3
GROWS_AFTER,grows after,1
GROWS_AT_DIFFERENT_RATES_THAN,grows at different rates than,1
GROWS_AT_HEIGHT_OF,grows at height,2
GROWS_DURING,grows during,9
GROWS_FAST,grows fast,1
GROWS_FROM,grows from,1
GROWS_IN,grows in,29
GROWS_IN_CONDITIONS_OF,grows in conditions,1
GROWS_IN_SEASON,grows in season,1
GROWS_IN_WIDTH,grows in width,1
GROWS_INTO_FRUIT,grows into fruit,1
GROWS_ON,grows on,1
GROWS_PRODUCE,grows produce,1
GROWS_TO,grows to,2
GROWS_TO_HEIGHT_OF,grows to height,2
GROWS_UNDER,grows under,3
GROWTH_CONDITION_REQUIRES,growth condition requires,1
GROWTH_RATE_COMPARISON,growth rate comparison,1
GROWTH_RESTRICTED_IN,growth restricted in,1
GROWTH_STAGE_OF,growth stage,6
GROWTH_STAGE_IS_REACHED_ON,growth stage is reached on,1
GROWTH_STAGE_OCCURS_AFTER,growth stage occurs after,1
GROWTH_STAGE_RELATED_TO_GROWTH_STAGE,growth stage related to growth stage,2
GROWTH_STAGE_TRANSITION,growth stage transition,2
GROWTH_STAGE_TRANSITION_ON,growth stage transition on,1
HAD_COMPETITION_OPEN,had competition open,1
HAIR_FAVORABLE_FOR_GROWTH_IN,hair favorable for growth in,1
HAND_PLANTED,hand planted,1
HANDLED_BY_SPECIFIC_GROUP_OF_PEOPLE,handled by specific group people,1
HAPPENS_BEFORE,happens before,1
HARROWED_WITH,harrowed with,1
HARVEST_DATE,harvest date,2
HARVEST_SEASON,harvest season,1
HARVESTABLE_IN_AUTUMN,harvestable in autumn,1
HARVESTED,harvested,1
HARVESTED_AFTER,harvested after,1
HARVESTED_AT,harvested at,5
HARVESTED_AT_BEGINNING_OF_FEBRUARY,harvested at beginning february,1
HARVESTED_AT_SPECIFIC_TIME,harvested at specific time,1
IS_HARVESTED_BY,harvested by,1
HARVESTED_DURING,harvested during,1
HARVESTED_FOR,harvested for,1
HARVESTED_FROM,harvested from,13
IS_HARVESTED_IN,harvested in,12
HARVESTED_IN_MONTH,harvested in month,1
HARVESTED_IN_OCTOBER,harvested in october,1
HARVESTED_IN_SEASON,harvested in season,1
CAN_BE_HARVESTED_IN_SUMMER,harvested in summer,1
HARVESTED_ON,harvested on,1
HARVESTED_ON_DATE,harvested on date,1
HARVESTED_ON_END_DATE,harvested on end date,1
HARVESTS_EVERY,harvests every,1
HAS_CHARACTERISTIC,has characteristic,1
HAS_CHARACTERISTICS,has characteristics,1
HAS_COMPONENT,has component,5
HAS_COMPONENTS,has components,1
-has_condition-relationship,has condition relationship,1
HAS_COST,has cost,2
HAS_COSTLY_FEEDING_PRACTICE,has costly feeding practice,2
HAS_CROP,has crop,1
HAS_CROP_RELATIONSHIP_WITH,has crop relationship with,1
HAS_CROSSBEAM_CONNECTING_TIMBERS,has crossbeam connecting timbers,1
HAS_DIFFERENT_CHARACTERISTICS_THAN,has different characteristics than,2
HAS_FRAME,has frame,1
HAS_FRUIT_LENGTH,has fruit length,1
HAS_FRUITING_STAGE,has fruiting stage,1
HAS_GROWTH_PATTERN,has growth pattern,1
HAS_GROWTH_STAGE,has growth stage,12
HAS_GROWTH_STAGE_RELATIONSHIP_WITH,has growth stage relationship with,1
HAS_HARVESTING_SCHEDULE,has harvesting schedule,1
HAS_LEAF_CHARACTERISTICS,has leaf characteristics,1
HAS_LEAVES,has leaves,1
HAS_PART,has part,1
-has_part-relationship,has part relationship,3
HAS_PARTS,has parts,1
HAS_PATTERN,has pattern,1
HAS_PEST_RELATIONSHIP_WITH,has pest relationship with,1
HAS_PLANTING_DATE,has planting date,3
HAS_PRACTICE,has practice,1
HAS_PRUNING_PRACTICE,has pruning practice,1
HAS_PRUNING_STAGE,has pruning stage,1
HAS_PULLEY,has pulley,1
HAS_RELATIONSHIP_WITH,has relationship with,1
HAS_RELATIONSHIP_WITH_SOIL_HUMIDITY,has relationship with soil humidity,1
HAS_REPUTATION_AS,has reputation as,1
 HAS_ROOT,has root,2
HAS_SAME_GROWTH_PATTERN,has same growth pattern,1
HAS_SEASONAL_CYCLE,has seasonal cycle,1
HAS_SEED_CHARACTERISTICS,has seed characteristics,1
HAS_SEED_LENGTH,has seed length,1
HAS_SHAPE,has shape,1
HAS_SIMILAR_SEED_TO,has similar seed to,1
HAS_SIZE_SIMILAR_TO,has size similar to,1
HAS_SPECIES,has species,1
HAS_TIMBER_SUPPORTS,has timber supports,1
HAS_TIME_TO_MATURITY,has time to maturity,2
HAS_TOOL,has tool,1
HAS_TRACING_ROOTS,has tracing roots,1
HAS_VALUE_BETWEEN,has value between,2
HAS_VARIETIES,has varieties,1
HAS_VARIETY,has variety,6
HAS_WIDER_LEAVES_THAN,has wider leaves than,1
HAS_WIDTH_AND_DEPTH,has width and depth,1
HAVE_AVERAGE_COST_OF,have average cost,2
HAVE_COMMON_PARTS,have common parts,2
HAVE_COMPONENT,have component,1
HAVE_EDIBLE_PARTS_IN_COMMON,have edible parts in common,1
HAVE_SIMILAR_GROWTH_PATTERNS,have similar growth patterns,1
HAY_REMOVED_DURING_PREPARATION,hay removed during preparation,1
HEATED_UP_IN,heated up in,1
HEATS_TO_PRESERVE,heats to preserve,1
HELPED_BY,helped by,1
IS_IMPACTED_BY,impacted by,3
IMPACTED_BY_ICE_ACCUMULATION,impacted by ice accumulation,1
IMPORTED_FROM,imported from,1
IMPROVED_WITH,improved with,1
IMPROVES_SOIL_FERTILITY,improves soil fertility,1
INCLUDED_IN,included in,1
INCLUDES_IN_LAYERING_PROCESS,includes in layering process,1
INFECTED_BY,infected by,1
INFECTED_WITH,infected with,1
INFECTS,infects,1
IS_INFERIOR_TO,inferior to,1
INITIATED_RESEARCH,initiated research,1
INPUT_USED_FOR_MULCHING,input used for mulching,1
INTERPLANTED_WITH,interplanted with,4
INTRODUCED_CROP_INTO_MARKET_GARDENING,introduced crop into market gardening,3
INTRODUCED_FRAME_INTO_MARKET_GARDENING,introduced frame into market gardening,1
INTRODUCED_TO,introduced to,1
INVOLVED_IN,involved in,1
INVOLVES,involves,1
CAN_BE_IRRIGATED_WITH,irrigated with,2
IRRIGATION_METHOD,irrigation method,2
IRRIGATION_USED_IN_PRACTICE,irrigation used in practice,1
JUNE_ASSOCIATED_EVENT,june associated event,1
KEEPED_MOIST_AND_CLEAN_IN,keeped moist and clean in,1
KEPT_WARM_BY,kept warm by,1
KNOWN_AS,known as,1
LACKS_INHERENT_QUALITY_OF,lacks inherent quality,1
LATER_THAN,later than,1
LATHS_ARE_USED_WITH_PEAS,laths are used with peas,1
LATHS_COMBINED_WITH_STRAW_AND_WICKER_TO_CONSTRUCT_WINDBREAKS,laths combined with straw and wicker to construct windbreaks,1
LAYERED_WITHIN,layered within,1
LEAD_PIPE_MADE_OF,lead pipe made,1
LEAD_PIPE_USED_INSTEAD_OF_STONEWARE_END,lead pipe used instead stoneware end,1
LEAVES_ARE_USED_FOR,leaves are used for,1
CAN_BE_LEFT_IN,left in,2
LEFT_ON_TEENS_UNTIL,left on teens until,1
IS_LESS_ACIDIC_THAN,less acidic than,1
LESS_COMMON_THAN,less common than,1
LESS_SENSITIVE_THAN,less sensitive than,1
LETTUCE_NEVER_REPLACED,lettuce never replaced,1
LETTUCE_VARIETY_IS_RELATED_TO,lettuce variety is related to,1
LIFTED,lifted,1
ARE_LIGHTLY_TILLED,lightly tilled,1
IS_LIMITED_IN_USE_BY,limited in use by,1
LOCATED_AT,located at,1
IS_LOCATED_IN,located in,15
LOCATED_IN_EQUIPMENT,located in equipment,1
LOCATED_IN_FIELD_TYPE,located in field type,1
LOCATED_IN_REGIONAL_GEOGRAPHY,located in regional geography,1
LOCATED_NEARBY,located nearby,1
LOCATED_ON_BANKS_OF,located on banks,1
LOCATION,location,1
LOCATION_ASSOCIATION,location association,1
LOCATION_LIMITATIONS_CAUSE_COMPETITION_DIFFICULTIES,location limitations cause competition difficulties,1
LONG_BEFORE_RIPENING_ON_VINE,long before ripening on vine,1
LOWERED_BY_ON_SOUTH_SIDE,lowered by on south side,1
MADE_OF,made,2
CAN_BE_MADE_FIRMER_BY,made firmer by,1
MADE_FROM,made from,3
MADE_FROM_CAST_IRON_ALTERNATIVELY,made from cast iron alternatively,1
MADE_FROM_SANDSTONE_ALTERNATIVELY,made from sandstone alternatively,1
MADE_OF_STONEWARE_ALTERNATIVELY,made stoneware alternatively,1
MANAGED_BY,managed by,1
MANNEIVAUX_CONTAIN,manneivaux contain,1
MANNES_CONTAIN,mannes contain,6
MANUFACTURED_FROM,manufactured from,1
MANURE_LAYERED_OVER,manure layered over,1
MANURE_PREPARATION,manure preparation,1
MANURE_TYPE_COMPARISON,manure type comparison,2
MARKED_FOR_SEED_PRODUCTION,marked for seed production,1
MARKET_GARDENER_WORKERS_FROM_PROVINCE,market gardener workers from province,1
MARKET_GARDENERS_REQUIRE_PROOF_OF_GOOD_CONDUCT,market gardeners require proof good conduct,1
MARKET_GARDENERS_WORKER_CLASS_IS_VERY_PEACEFUL,market gardeners worker class is very peaceful,1
MATURATES_IN_NOVEMBER,maturates in november,1
MATURATES_ON_OR_BEFORE,maturates on or before,1
MATURITY_PERIOD,maturity period,1
MATURITY_PERIOD_DAYS,maturity period days,1
MEASURED_BY,measured by,1
MEASURED_BY_LENGTH,measured by length,1
MEASURED_IN_HECTARES,measured in hectares,1
MEASUREMENT_UNIT_OF,measurement unit,1
IS_A_MEMBER_OF,member,1
MENTIONED_ALONGSIDE,mentioned alongside,15
MENTIONED_IN_TEXT,mentioned in text,1
MENTIONED_TOGETHER,mentioned together,1
MIXED_WITH,mixed with,4
MIXED_WITH_INPUT_MATERIAL,mixed with input material,1
MONITORED_USING,monitored using,1
IS_MORE_APPETIZING_THAN,more appetizing than,1
MORE_FRAGILE_THAN,more fragile than,1
MORE_SUCCESSFUL_IN_OCTOBER_THAN_SPRING,more successful in october than spring,1
MOVED_FROM,moved from,1
MOVES_BACK_TO_ACCOMMODATE_NEW_BUILDINGS,moves back to accommodate new buildings,1
MULCHED_UNDER,mulched under,1
IS_A_NATIVE_OF,native,1
NATIVE_TO_LOCATION,native to location,1
NATURALLY_GROWS_IN,naturally grows in,1
NEED_ATTENTION,need attention,2
IS_NEEDED_FOR,needed for,1
IS_NEEDED_TO_FERTILIZE,needed to fertilize,2
IS_NEEDED_TO_MAKE_FERTILE,needed to make fertile,1
NEEDS,needs,2
NEEDS_CARE_FROM,needs care from,1
NEEDS_MORE,needs more,1
NEEDS_OPERATION,needs operation,1
NEEDS_PROTECTION,needs protection,1
NEEDS_TO_BE_PREPARED_WITH_SUBSTANCE,needs to be prepared with substance,1
NEEDS_TO_BE_REMOVED_FROM_CLOCHES_WHEN_SUN_APPEARS,needs to be removed from cloches when sun appears,1
NEEDS_TO_MAKE_LAYERS_FOR,needs to make layers for,1
NEEDS_WATERING,needs watering,1
NEEDSIRRIGATION,needsirrigation,1
NEW_CROP_AVAILABLE,new crop available,4
