raw_name,normalized_for_embedding,normalized_for_analysis,count
AFFECTS_CROP,affects crop,affects crop,1
AFFECTS_CROP_GROWTH,affects crop growth,affects crop growth,1
AFFECTS_GROWTH,affects growth,affects growth,1
AFFECTS_GROWTH_OF,affects growth,affects growth,1
AFFECTS_LOCAL_MARKET_GARDENERS_COMPETITIVENESS_DUE_TO_FACTOR,affects local market gardeners competitiveness due to factor,affects local market gardeners competitiveness due to factor,1
AFFECTS_QUALITY_OF,affects quality,affects quality,1
AFFECTS_THE_GROWTH_OF,affects growth,affects growth,1
AFFECTS_YIELD,affects yield,affects yield,1
AFFTECTED_BY_DISEASE,afftected by disease,afftected by disease,1
AIMED_AT_PRODUCING_MANUAL_FOR,aimed at producing manual for,aimed at producing manual for,1
ALLOWED_TO_GROW,allowed to grow,allowed to grow,1
ALTERNATIVELY_PLANTED_WITH,alternatively planted with,alternatively planted with,1
ALTERNATIVELY_PREFFERED_FOR,alternatively preffered for,alternatively preffered for,1
ALTERNATIVE_TO,alternative to,alternative to,1
APPLIED_AT,applied at,applied at,1
APPLIED_IN,applied in,applied in,1
APPLIED_TO,applied to,applied to,1
APPLY_TREATMENT_ON_AREA,apply treatment on area,apply treatment on area,1
ARE_ALTERNATIVELY_lined_WITH,alternatively lined with,alternatively lined with,1
ARE_ASSOCIATED_WITH,associated with,associated with,1
ARE_CUT_FLUSH_WITH_THE_GROUND_IF THEY_ARE_DRY,cut flush with ground if they are dry,cut flush with ground if they are dry,1
ARE_LIGHTLY_TILLED,lightly tilled,lightly tilled,1
ARE_NOT_FOUND_IN,not found in,not found in,1
ARE_PLANTED_AT_SPECIFIC_GROWTH_STAGE,planted at specific growth stage,planted at specific growth stage,1
ARE_RESISTANT_TO,resistant to,resistant to,1
ARE_SOWN,sown,sown,1
ARE_SOWN_BETWEEN_DATES,sown between dates,sown between dates,2
ARE_SOWN_IN_MONTH,sown in month,sown in month,2
ARE_SOWN_IN_MONTH_FOR_TRANSPORTATION,sown in month for transportation,sown in month for transportation,2
ARE_STUFFED_AND_RELINED_IN,stuffed and relined in,stuffed and relined in,1
ARE_TRANSPLANTED_INTO_BOXES,transplanted into boxes,transplanted into boxes,1
ARE_TRANSPLANTED_INTO_NURSERY,transplanted into nursery,transplanted into nursery,3
ARE_WARMED_UP_FROM_MONTH,warmed up from month,warmed up from month,2
ARElined_WITH,arelined with,arelined with,1
ARRANGED_IN,arranged in,arranged in,1
ARRANGED_UNDERNEATH_OF,arranged underneath,arranged underneath,1
ASSEMBLED_INTO,assembled into,assembled into,1
ASSOCIATED_WITH,associated with,associated with,5
ASSOCIATED_WITH_FARM_PRACTICE,associated with farm practice,associated with farm practice,1
ASSOCIATED_WITH_GARDENS_IN_PARIS,associated with gardens in paris,associated with gardens in paris,1
ASSOCIATED_WITH_INSTITUTION_OR_WORKER,associated with institution or worker,associated with institution or worker,1
ASSOCIATED_WITH_SOIL_CONDITIONS,associated with soil conditions,associated with soil conditions,1
AS_PARAPHRASED,as paraphrased,as paraphrased,1
AUTHORED_BY,authored by,authored by,3
AVAILABLE_ALMOST_ALL_YEAR_ROUND,available almost all year round,available almost all year round,1
AVAILABLE_IN,available in,available in,7
AVAILABLE_IN_ABUNDANCE,available in abundance,available in abundance,1
AWARDED_BY,awarded by,awarded by,1
AWARDED_WITH,awarded with,awarded with,1
BASED_ON_DESIRE_FOR_PUBLICATION,based on desire for publication,based on desire for publication,1
BASED_ON_PROGRAM_OF,based on program,based on program,1
BEARS_APPLES_IN,bears apples in,bears apples in,1
BEARS_FRUIT_IN,bears fruit in,bears fruit in,1
BEGINS_AT_MONTH_OF,begins at month,begins at month,1
BELL_MARKED_AT,bell marked at,bell marked at,1
BELL_PLACEMENT_MONTH,bell placement month,bell placement month,1
BELONGS_TO,belongs to,belongs to,2
BELONGS_TO_FAMILY,belongs to family,belongs to family,1
BELONGS_TO_FAMILY_SECTION,belongs to family section,belongs to family section,1
BELONGS_TO_SECTION,belongs to section,belongs to section,1
BELONGS_TO_THE_SAME_PLANT_TYPE,belongs to same plant type,belongs to same plant type,1
BELONG_TO_SAME_GENUS,belong to same genus,belong to same genus,1
BENEFICIAL_FOR,beneficial for,beneficial for,1
BENEFITS_ACCESSIBILITY,benefits accessibility,benefits accessibility,1
BENEFITS_FROM,benefits from,benefits from,1
BLANCHED_USING,blanched using,blanched using,2
BLANCHES_FROM,blanches from,blanches from,1
BOUND_FOR_BLANCHING,bound for blanching,bound for blanching,1
BURIED_WITH,buried with,buried with,1
CABBAGE_POMMENT_AGE,cabbage pomment age,cabbage pomment age,1
CALAISSED_FROM,calaissed from,calaissed from,1
CANTALOUPE_CROP_OF,cantaloupe crop,cantaloupe crop,1
CAN_BE_AFFECTED_BY,affected by,affected by,3
CAN_BE_FORCED_IN_NOVEMBER_WITH_16_CM_COMPOST_LAYER_AND_CLOVER,forced in november with 16 cm compost layer and clover,forced in november with 16 cm compost layer and clover,1
CAN_BE_GROWN_AGAIN_IN,grown again in,grown again in,1
CAN_BE_HARVESTED_IN_SUMMER,harvested in summer,harvested in summer,1
CAN_BE_IRRIGATED_WITH,irrigated with,irrigated with,1
CAN_BE_LEFT_IN,left in,left in,1
CAN_BE_MADE_FIRMER_BY,made firmer by,made firmer by,1
CAN_BE_PESTED_BY,pested by,pested by,1
CAN_BE_PLANTED_IN_MONTH,planted in month,planted in month,1
CAN_BE_SOLD_FROM,sold from,sold from,1
CAN_BE_SOWN_FOR_BEDDING_OR_COASTAL_PLANTING,sown for bedding or coastal planting,sown for bedding or coastal planting,2
CAN_BE_SOWN_IN,sown in,sown in,3
CAN_BE_TRANSPORTED_UNDER,transported under,transported under,2
CAN_MEASURE_TEMPERATURE,can measure temperature,can measure temperature,1
CAN_REACH_TEMPERATURE,can reach temperature,can reach temperature,1
CAN_STILL_BE_PLANTED,can still be planted,can still be planted,1
CAN_WITHSTAND,can withstand,can withstand,1
CARRIED_ON,carried on,carried on,2
CARRIES,carries,carries,2
CARRIES_ON,carries on,carries on,1
CARROT_IS_COVERED_WITH,carrot is covered with,carrot is covered with,1
CARROT_IS_SEALED_WITH,carrot is sealed with,carrot is sealed with,1
CARROT_IS_SOWN_IN,carrot is sown in,carrot is sown in,1
CARROT_IS_SOWN_ON,carrot is sown on,carrot is sown on,1
CATEGORY_OF,category,category,2
CAUSED_BY,caused by,caused by,1
CAUSES,causes,causes,1
CAUSES_CONDITION,causes condition,causes condition,2
CHARACTERISTIC_OF,characteristic,characteristic,1
CHARACTERIZED_BY_STEM_AND_CAP,characterized by stem and cap,characterized by stem and cap,1
CHECKED_FOR,checked for,checked for,1
CLASSIFIED_UNDER,classified under,classified under,2
CLEANED_WITH,cleaned with,cleaned with,1
CLOSED_WITH_FRAMES,closed with frames,closed with frames,1
COIFFES_IN_MONTH,coiffes in month,coiffes in month,1
COLLAR_SUNK_INTO_GROUND,collar sunk into ground,collar sunk into ground,2
COLOCATED_WITHIN,colocated within,colocated within,1
COLORED_LEAVES,colored leaves,colored leaves,1
COMMONLY_GROWN_DURING,commonly grown during,commonly grown during,1
COMMON_NAME_OF_CROP,common name crop,common name crop,1
COMPANION_PLANT_FOR,companion plant for,companion plant for,2
COMPARED_WITH_METHODS,compared with methods,compared with methods,1
COMPETES_WITH,competes with,competes with,1
COMPETING_VARIETY_OF,competing variety,competing variety,1
COMPLETELY_MILLED_TO_BLEACH,completely milled to bleach,completely milled to bleach,1
COMPRISED_OF,comprised,comprised,1
CONDITIONALLY_REQUIRES,conditionally requires,conditionally requires,1
CONNECTED_TO,connected to,connected to,1
CONNECTS_TO_FRAME,connects to frame,connects to frame,1
CONSEQUENCE_OF,consequence,consequence,1
CONSISTS_OF,consists,consists,1
CONSISTS_OF_SOIL_AND_MANURE,consists soil and manure,consists soil and manure,1
CONSUMED_IN,consumed in,consumed in,1
CONTAIN,contain,contain,1
CONTAINING,containing,containing,1
CONTAINS,contains,contains,9
CONTAINS_IN_AVERAGE,contains in average,contains in average,1
CONTAINS_MATERIALS,contains materials,contains materials,1
CONTAINS_MEASUREMENT,contains measurement,contains measurement,1
CONTAINS_PART_OF,contains part,contains part,1
CONTAINS_SEEDS,contains seeds,contains seeds,2
CONTAINS_SOIL_TYPE,contains soil type,contains soil type,1
CONTAINS_SPAWN,contains spawn,contains spawn,1
CONTAINS_SPECIES,contains species,contains species,2
CONTAINS_SUBSTANCE_AS_SEED,contains substance as seed,contains substance as seed,1
CONTAINS_VARIETIES,contains varieties,contains varieties,2
CONTINUES_TO_BE_HEATED,continues to be heated,continues to be heated,1
CONTINUE_TO_BE_TRANSPLANTED,continue to be transplanted,continue to be transplanted,6
CONTRIBUTED_TO,contributed to,contributed to,1
CONVERTED_TO,converted to,converted to,1
COOLING_LOCATION,cooling location,cooling location,1
COOPER_CINNAMON_USED_IN_LEAD_PIPE_END,cooper cinnamon used in lead pipe end,cooper cinnamon used in lead pipe end,1
COSTS,costs,costs,2
COSTS_ASSOCIATED_WITH_EQUIPMENT,costs associated with equipment,costs associated with equipment,2
COUNTER_PLANTED_WITH,counter planted with,counter planted with,1
COVERED_BY,covered by,covered by,2
COVERED_FOR,covered for,covered for,1
COVERED_FROM,covered from,covered from,1
COVERED_IN,covered in,covered in,1
COVERED_WITH,covered with,covered with,37
COVERED_WITH_AT_NIGHT,covered with at night,covered with at night,1
COVERED_WITH_FRAMES,covered with frames,covered with frames,1
COVERED_WITH_LITTER_OR_MAT_DURING_DAY,covered with litter or mat during day,covered with litter or mat during day,1
COVERED_WITH_MANURE,covered with manure,covered with manure,1
COVERED_WITH_SOIL,covered with soil,covered with soil,1
COVERED_WITH_STRAW_MATS,covered with straw mats,covered with straw mats,1
COVERS_SOIL_FOR,covers soil for,covers soil for,1
COVERS_WITH,covers with,covers with,1
CREATED_EDGE_ON_NORTH_SIDE,created edge on north side,created edge on north side,1
CROP_ASSOCIATED_WITH_EQUIPMENT,crop associated with equipment,crop associated with equipment,1
CROP_ASSOCIATION,crop association,crop association,1
CROP_AVAILABILITY_SEASON,crop availability season,crop availability season,1
CROP_CHARACTERISTIC,crop characteristic,crop characteristic,1
CROP_GRAFTING,crop grafting,crop grafting,1
CROP_GROWN,crop grown,crop grown,2
CROP_GROWN_AT,crop grown at,crop grown at,1
CROP_GROWN_FOR,crop grown for,crop grown for,1
CROP_GROWN_FROM,crop grown from,crop grown from,1
CROP_GROWTH_STAGE_TRANSITION,crop growth stage transition,crop growth stage transition,1
CROP_PLANTED,crop planted,crop planted,1
CROP_PREFERENCE_LOCATION,crop preference location,crop preference location,1
CROP_TYPE,crop type,crop type,6
CROP_VARIEGES,crop varieges,crop varieges,3
CROP_VARIEGY,crop variegy,crop variegy,1
CROP_VARIEIES,crop varieies,crop varieies,2
CROP_VARIETY,crop variety,crop variety,6
CROP_VARIETY_RELATED_TO_CROP,crop variety related to crop,crop variety related to crop,4
CROP_VARIEYT,crop varieyt,crop varieyt,1
CROP_VARIEYT_RELATIONSHIP,crop varieyt relationship,crop varieyt relationship,1
CULTIVATED,cultivated,cultivated,3
CULTIVATED_AFTER,cultivated after,cultivated after,1
CULTIVATED_AS,cultivated as,cultivated as,2
CULTIVATED_AT,cultivated at,cultivated at,2
CULTIVATED_BY,cultivated by,cultivated by,2
CULTIVATED_DURING,cultivated during,cultivated during,5
CULTIVATED_FOR,cultivated for,cultivated for,1
CULTIVATED_FROM,cultivated from,cultivated from,1
CULTIVATED_GENUS_CONTAINS_SPECIES,cultivated genus contains species,cultivated genus contains species,1
CULTIVATED_IN,cultivated in,cultivated in,2
CULTIVATED_IN_ROWS,cultivated in rows,cultivated in rows,1
CULTIVATED_ON,cultivated on,cultivated on,3
CULTIVATED_TOGETHER,cultivated together,cultivated together,1
CULTIVATED_UNDER_SPECIFIC_CONDITIONS,cultivated under specific conditions,cultivated under specific conditions,1
CULTIVATED_UNTIL,cultivated until,cultivated until,2
CULTIVATED_USING,cultivated using,cultivated using,2
CULTIVATED_USING_FORCED_CULTIVATION_METHOD,cultivated using forced cultivation method,cultivated using forced cultivation method,1
CULTIVATED_VARIETY,cultivated variety,cultivated variety,1
CULTIVATED_WITH,cultivated with,cultivated with,1
CULTIVATED_WITH_TOOL,cultivated with tool,cultivated with tool,1
CUT_AT,cut at,cut at,2
CUT_BACK_REGULARLY,cut back regularly,cut back regularly,1
CUT_BY,cut by,cut by,1
CUT_DURING,cut during,cut during,1
CUT_IN_YEAR,cut in year,cut in year,1
CUT_WITH,cut with,cut with,1
DEEPENED,deepened,deepened,1
DEGENERATES_EASILY,degenerates easily,degenerates easily,1
DEPANELLED_AT,depanelled at,depanelled at,1
DEPICTED_BY,depicted by,depicted by,1
DEPICTS,depicts,depicts,1
DERIVED_FROM,derived from,derived from,1
DESTROYED_BY,destroyed by,destroyed by,1
DESTROYED_IF_NOT_SPARRED_FOR_SEED,destroyed if not sparred for seed,destroyed if not sparred for seed,1
DESTRUCTIVE_IMPACT_ON_PLANTS,destructive impact on plants,destructive impact on plants,1
DEVELOPED_BY,developed by,developed by,1
DEVELOPS_INTO,develops into,develops into,1
DIFFERENT_CULTURE_THAN,different culture than,different culture than,1
DIFFERENT_PLANTING_METHOD,different planting method,different planting method,1
DIFFERENT_SOIL_CONDITION,different soil condition,different soil condition,1
DIFFERS_FROM,differs from,differs from,1
DIFFERS_FROM_PARENT_PLANT,differs from parent plant,differs from parent plant,1
DIFFERS_IN,differs in,differs in,1
DIFFERS_IN_ACCESSIBILITY,differs in accessibility,differs in accessibility,1
DIFFERS_IN_FLESH_COLOR_FROM,differs in flesh color from,differs in flesh color from,1
DIFFERS_IN_GROWTH_FROM,differs in growth from,differs in growth from,1
DIFFERS_IN_QUALITY_FROM,differs in quality from,differs in quality from,1
DIFFERS_IN_RUNNIG_FROM,differs in runnig from,differs in runnig from,4
DIFFERS_IN_SHAPE_FROM,differs in shape from,differs in shape from,1
DIFFERS_IN_SIZE_AND_LATER_BY,differs in size and later by,differs in size and later by,1
DISEASE_AFFECTED_BY,disease affected by,disease affected by,3
DISEASE_AFFECTS_CROP,disease affects crop,disease affects crop,2
DIVIDED_INTO,divided into,divided into,1
DOCUMENTED_AT,documented at,documented at,1
DOES_NOT_NEED_TRANSPLANTING_DUE_TO_SOIL_CONDITION,does not need transplanting due to soil condition,does not need transplanting due to soil condition,1
DOES_NOT_RESULT_IN,does not result in,does not result in,1
Damaged_BY,damaged by,damaged by,1
EARLY_PLANTED_BY,early planted by,early planted by,1
EATEN_BY,eaten by,eaten by,1
EDGE_WITH,edge with,edge with,1
EFFECTED_BY,effected by,effected by,1
EFFECTED_BY_STRUCTURES,effected by structures,effected by structures,1
EMPLOYED_IN_MARKET_GARDENING,employed in market gardening,employed in market gardening,1
EMPLOYS,employs,employs,1
ENCOURAGED_TO_CONTRIBUTE,encouraged to contribute,encouraged to contribute,1
ENCROACHES_WITH,encroaches with,encroaches with,1
ENHANCES_PRODUCTIVITY,enhances productivity,enhances productivity,1
EQUIPMENT_COMPONENT_OF,equipment component,equipment component,1
EQUIPMENT_DEVELOPED_TO_HELP_FARMS_USE_EQUIPMENT_BETTER,equipment developed to help farms use equipment better,equipment developed to help farms use equipment better,1
EQUIPMENT_USED_BY,equipment used by,equipment used by,1
EQUIPMENT_USED_FOR_PREPARATION,equipment used for preparation,equipment used for preparation,1
EQUIPPED_WITH,equipped with,equipped with,4
ESTABLISHED_IN,established in,established in,1
EXCELLENT_QUALITY,excellent quality,excellent quality,1
EXERTS_EFFECT_ON,exerts effect on,exerts effect on,1
EXHIBITS_CHARACTERISTIC,exhibits characteristic,exhibits characteristic,1
EXPECTED_AT,expected at,expected at,1
EXPERIMENTED_BY,experimented by,experimented by,1
EXPOSED_TO,exposed to,exposed to,1
EXPOSED_TO_AIR_AROUND,exposed to air around,exposed to air around,1
EXPOSED_TO_AIR_BY_MEANS_OF,exposed to air by means,exposed to air by means,1
EXPOSED_TO_LIGHT_THROUGH,exposed to light through,exposed to light through,1
EXPOSED_TO_NATURAL_ELEMENT_FOR_AIRING,exposed to natural element for airing,exposed to natural element for airing,1
EXPOSED_TO_WIND,exposed to wind,exposed to wind,1
EXPOSURE_INFLUENCE_ON_GROWTH,exposure influence on growth,exposure influence on growth,1
EXTENDS_INTO_PATHS,extends into paths,extends into paths,1
EXTRACTED_FROM_ECONOMICS_DATA,extracted from economics data,extracted from economics data,1
FAMILY_CLASSIFICATION,family classification,family classification,1
FARMING_PRACTICE,farming practice,farming practice,1
FARMING_PRACTICE_RELATED,farming practice related,farming practice related,2
FED_BY,fed by,fed by,1
FERTILIZED_WITH,fertilized with,fertilized with,1
FIELD_PREPARATION_PRACTICE,field preparation practice,field preparation practice,1
FILLED_WITH,filled with,filled with,1
FILLED_WITH_SOIL,filled with soil,filled with soil,1
FIX,fix,fix,1
FLOWERS_IN,flowers in,flowers in,1
FOLLOWED_BY,followed by,followed by,3
FOLLOWED_BY_CROP,followed by crop,followed by crop,1
FOLLOWS_AFTER,follows after,follows after,1
FOLLOWS_IN_DEVELOPMENT,follows in development,follows in development,1
FOLLOWS_LAYERS,follows layers,follows layers,5
FOLLOW_EXAMPLE_OF,follow example,follow example,1
FORMS_INTO,forms into,forms into,1
FOUNDED_PRIZE,founded prize,founded prize,1
FOUND_IN,found in,found in,2
FRAMES_AREUSED_WITH_PEAS,frames areused with peas,frames areused with peas,1
FRAME_CONTAINS_PLANT,frame contains plant,frame contains plant,1
FREEZE_IMPACT,freeze impact,freeze impact,1
FREE_FROM,free from,free from,1
FRUITS_AFFECTED_BY,fruits affected by,fruits affected by,1
GAVE_BACK,gave back,gave back,1
GENERATED_FROM,generated from,generated from,2
GERMINATED_IN,germinated in,germinated in,1
GERMINATES_FOR,germinates for,germinates for,2
GERMINATES_WITHIN,germinates within,germinates within,1
GERMINATION_TIMEFRAME,germination timeframe,germination timeframe,1
GEUREA_FAMILY_CONTAINS,geurea family contains,geurea family contains,1
GIVEN_AIR_GRADUALLY,given air gradually,given air gradually,1
GIVEN_AIR_USING,given air using,given air using,1
GIVEN_AIR_WHEN_POSSIBLE,given air when possible,given air when possible,1
GOES_TO_SEED,goes to seed,goes to seed,1
GOPTED_WITH,gopted with,gopted with,1
GREENER_THAN,greener than,greener than,2
GREW_STRONG_ENOUGH_TO_BE_TRANSPLANTED_IN,grew strong enough to be transplanted in,grew strong enough to be transplanted in,1
GROUPED_WITH,grouped with,grouped with,1
GROWN_AFTER,grown after,grown after,2
GROWN_AROUND,grown around,grown around,1
GROWN_AS,grown as,grown as,1
GROWN_AT,grown at,grown at,1
GROWN_BY,grown by,grown by,3
GROWN_FOR,grown for,grown for,1
GROWN_FROM,grown from,grown from,2
GROWN_IN,grown in,grown in,81
GROWN_IN.SEASON,grown in season,grown in season,1
GROWN_IN.STAGE,grown in stage,grown in stage,1
GROWN_IN_CLOSE_PROXIMITY_TO,grown in close proximity to,grown in close proximity to,1
GROWN_IN_CONDITION,grown in condition,grown in condition,1
GROWN_IN_FRAMES,grown in frames,grown in frames,1
GROWN_IN_MANURE_FILLED_PITS,grown in manure filled pits,grown in manure filled pits,1
GROWN_IN_MONTHS_OF_THE_YEAR,grown in months year,grown in months year,1
GROWN_IN_PREFERENCE_TO,grown in preference to,grown in preference to,1
GROWN_IN_SEASON,grown in season,grown in season,1
GROWN_IN_SPECIFIC_REGIONS_OR_SETTINGS,grown in specific regions or settings,grown in specific regions or settings,1
GROWN_NEAR,grown near,grown near,1
GROWN_ON,grown on,grown on,4
GROWN_ON_COASTAL_REGIONS,grown on coastal regions,grown on coastal regions,1
GROWN_SIMILARLY_TO,grown similarly to,grown similarly to,1
GROWN_TO_LENGTH,grown to length,grown to length,1
GROWN_UNDER,grown under,grown under,6
GROWN_UNDER_STRUCTURE,grown under structure,grown under structure,1
GROWN_WITH,grown with,grown with,3
GROWS_AFTER,grows after,grows after,1
GROWS_AT_DIFFERENT_RATES_THAN,grows at different rates than,grows at different rates than,1
GROWS_AT_HEIGHT,grows at height,grows at height,1
GROWS_AT_HEIGHT_OF,grows at height,grows at height,1
GROWS_DURING,grows during,grows during,9
GROWS_FAST,grows fast,grows fast,1
GROWS_FROM,grows from,grows from,1
GROWS_IN,grows in,grows in,29
GROWS_INTO_FRUIT,grows into fruit,grows into fruit,1
GROWS_IN_CONDITIONS_OF,grows in conditions,grows in conditions,1
GROWS_IN_SEASON,grows in season,grows in season,1
GROWS_IN_WIDTH,grows in width,grows in width,1
GROWS_ON,grows on,grows on,1
GROWS_PRODUCE,grows produce,grows produce,1
GROWS_TO,grows to,grows to,2
GROWS_TO_HEIGHT,grows to height,grows to height,1
GROWS_TO_HEIGHT_OF,grows to height,grows to height,1
GROWS_UNDER,grows under,grows under,3
GROWTH_CONDITION_REQUIRES,growth condition requires,growth condition requires,1
GROWTH_RATE_COMPARISON,growth rate comparison,growth rate comparison,1
GROWTH_RESTRICTED_IN,growth restricted in,growth restricted in,1
GROWTH_STAGE,growth stage,growth stage,4
GROWTH_STAGE_IS_REACHED_ON,growth stage is reached on,growth stage is reached on,1
GROWTH_STAGE_OCCURS_AFTER,growth stage occurs after,growth stage occurs after,1
GROWTH_STAGE_OF,growth stage,growth stage,2
GROWTH_STAGE_RELATED_TO_GROWTH_STAGE,growth stage related to growth stage,growth stage related to growth stage,2
GROWTH_STAGE_TRANSITION,growth stage transition,growth stage transition,2
GROWTH_STAGE_TRANSITION_ON,growth stage transition on,growth stage transition on,1
HAD_COMPETITION_OPEN,had competition open,had competition open,1
HAIR_FAVORABLE_FOR_GROWTH_IN,hair favorable for growth in,hair favorable for growth in,1
HANDLED_BY_SPECIFIC_GROUP_OF_PEOPLE,handled by specific group people,handled by specific group people,1
HAND_PLANTED,hand planted,hand planted,1
HAPPENS_BEFORE,happens before,happens before,1
HARROWED_WITH,harrowed with,harrowed with,1
HARVESTABLE_IN_AUTUMN,harvestable in autumn,harvestable in autumn,1
HARVESTED,harvested,harvested,1
HARVESTED_AFTER,harvested after,harvested after,1
HARVESTED_AT,harvested at,harvested at,5
HARVESTED_AT_BEGINNING_OF_FEBRUARY,harvested at beginning february,harvested at beginning february,1
HARVESTED_AT_SPECIFIC_TIME,harvested at specific time,harvested at specific time,1
HARVESTED_DURING,harvested during,harvested during,1
HARVESTED_FOR,harvested for,harvested for,1
HARVESTED_FROM,harvested from,harvested from,13
HARVESTED_IN,harvested in,harvested in,10
HARVESTED_IN_MONTH,harvested in month,harvested in month,1
HARVESTED_IN_OCTOBER,harvested in october,harvested in october,1
HARVESTED_IN_SEASON,harvested in season,harvested in season,1
HARVESTED_ON,harvested on,harvested on,1
HARVESTED_ON_DATE,harvested on date,harvested on date,1
HARVESTED_ON_END_DATE,harvested on end date,harvested on end date,1
HARVESTS_EVERY,harvests every,harvests every,1
HARVEST_DATE,harvest date,harvest date,2
HARVEST_SEASON,harvest season,harvest season,1
HAS_CHARACTERISTIC,has characteristic,has characteristic,1
HAS_CHARACTERISTICS,has characteristics,has characteristics,1
HAS_COMPONENT,has component,has component,5
HAS_COMPONENTS,has components,has components,1
HAS_COST,has cost,has cost,2
HAS_COSTLY_FEEDING_PRACTICE,has costly feeding practice,has costly feeding practice,2
HAS_CROP,has crop,has crop,1
HAS_CROP_RELATIONSHIP_WITH,has crop relationship with,has crop relationship with,1
HAS_CROSSBEAM_CONNECTING_TIMBERS,has crossbeam connecting timbers,has crossbeam connecting timbers,1
HAS_DIFFERENT_CHARACTERISTICS_THAN,has different characteristics than,has different characteristics than,2
HAS_FRAME,has frame,has frame,1
HAS_FRUITING_STAGE,has fruiting stage,has fruiting stage,1
HAS_FRUIT_LENGTH,has fruit length,has fruit length,1
HAS_GROWTH_PATTERN,has growth pattern,has growth pattern,1
HAS_GROWTH_STAGE,has growth stage,has growth stage,12
HAS_GROWTH_STAGE_RELATIONSHIP_WITH,has growth stage relationship with,has growth stage relationship with,1
HAS_HARVESTING_SCHEDULE,has harvesting schedule,has harvesting schedule,1
HAS_LEAF_CHARACTERISTICS,has leaf characteristics,has leaf characteristics,1
HAS_LEAVES,has leaves,has leaves,1
HAS_PART,has part,has part,1
HAS_PARTS,has parts,has parts,1
HAS_PATTERN,has pattern,has pattern,1
HAS_PEST_RELATIONSHIP_WITH,has pest relationship with,has pest relationship with,1
HAS_PLANTING_DATE,has planting date,has planting date,3
HAS_PRACTICE,has practice,has practice,1
HAS_PRUNING_PRACTICE,has pruning practice,has pruning practice,1
HAS_PRUNING_STAGE,has pruning stage,has pruning stage,1
HAS_PULLEY,has pulley,has pulley,1
HAS_RELATIONSHIP_WITH,has relationship with,has relationship with,1
HAS_RELATIONSHIP_WITH_SOIL_HUMIDITY,has relationship with soil humidity,has relationship with soil humidity,1
HAS_REPUTATION_AS,has reputation as,has reputation as,1
HAS_ROOT,has root,has root,1
HAS_SAME_GROWTH_PATTERN,has same growth pattern,has same growth pattern,1
HAS_SEASONAL_CYCLE,has seasonal cycle,has seasonal cycle,1
HAS_SEED_CHARACTERISTICS,has seed characteristics,has seed characteristics,1
HAS_SEED_LENGTH,has seed length,has seed length,1
HAS_SHAPE,has shape,has shape,1
HAS_SIMILAR_SEED_TO,has similar seed to,has similar seed to,1
HAS_SIZE_SIMILAR_TO,has size similar to,has size similar to,1
HAS_SPECIES,has species,has species,1
HAS_TIMBER_SUPPORTS,has timber supports,has timber supports,1
HAS_TIME_TO_MATURITY,has time to maturity,has time to maturity,2
HAS_TOOL,has tool,has tool,1
